Date,Team,Assists per Game
2015-05-25,UAlbany,10.68
2015-05-25,Stony Brook,9.17
2015-05-25,North Carolina,8.88
2015-05-25,Syracuse,8.75
2015-05-25,Denver,8.21
2015-05-25,Brown,8.18
2015-05-25,Duke,8.11
2015-05-25,Johns Hopkins,7.78
2015-05-25,Princeton,7.6
2015-05-25,Vermont,7.38
2015-05-25,Richmond,7.25
2015-05-25,Virginia,7.13
2015-05-25,Marist,7.06
2015-05-25,Loyola Maryland,6.93
2015-05-25,Quinnipiac,6.73
2015-05-25,Harvard,6.71
2015-05-25,Yale,6.69
2015-05-25,Boston U.,6.64
2015-05-25,Massachusetts,6.6
2015-05-25,Army West Point,6.59
2015-05-25,Notre Dame,6.53
2015-05-25,Penn,6.23
2015-05-25,Georgetown,6.13
2015-05-25,Colgate,6.06
2015-05-25,Hartford,6.0
2015-05-25,Saint Joseph's,6.0
2015-05-25,Binghamton,6.0
2015-05-25,Lehigh,5.88
2015-05-25,Jacksonville,5.83
2015-05-25,High Point,5.82
2015-05-25,St. John's,5.64
2015-05-25,Ohio St.,5.63
2015-05-25,Cornell,5.63
2015-05-25,Rutgers,5.6
2015-05-25,Air Force,5.53
2015-05-25,Siena,5.43
2015-05-25,Bellarmine,5.42
2015-05-25,Villanova,5.29
2015-05-25,Hofstra,5.29
2015-05-25,Fairfield,5.27
2015-05-25,Marquette,5.25
2015-05-25,Detroit Mercy,5.21
2015-05-25,Navy,5.07
2015-05-25,Robert Morris,5.07
2015-05-25,Delaware,5.0
2015-05-25,Sacred Heart,4.92
2015-05-25,Dartmouth,4.92
2015-05-25,Holy Cross,4.85
2015-05-25,Drexel,4.8
2015-05-25,Lafayette,4.79
2015-05-25,Bryant,4.78
2015-05-25,Maryland,4.68
2015-05-25,Penn St.,4.64
2015-05-25,Mercer,4.62
2015-05-25,UMBC,4.54
2015-05-25,Bucknell,4.47
2015-05-25,Michigan,4.31
2015-05-25,Towson,4.22
2015-05-25,Wagner,4.15
2015-05-25,Canisius,4.13
2015-05-25,Hobart,3.71
2015-05-25,Furman,3.69
2015-05-25,Providence,3.43
