Date,Team,Caused Turnovers per Game
2015-05-25,UAlbany,9.89
2015-05-25,Brown,9.41
2015-05-25,Harvard,8.93
2015-05-25,Michigan,8.92
2015-05-25,Dartmouth,8.85
2015-05-25,Richmond,8.25
2015-05-25,Wagner,8.08
2015-05-25,Navy,8.07
2015-05-25,Mount St. Mary's,8.07
2015-05-25,Saint Joseph's,8.0
2015-05-25,North Carolina,7.82
2015-05-25,Notre Dame,7.8
2015-05-25,Lehigh,7.69
2015-05-25,Air Force,7.67
2015-05-25,High Point,7.65
2015-05-25,Penn,7.54
2015-05-25,Lafayette,7.43
2015-05-25,Providence,7.43
2015-05-25,Virginia,7.4
2015-05-25,Hartford,7.33
2015-05-25,Bucknell,7.33
2015-05-25,Detroit Mercy,7.29
2015-05-25,Boston U.,7.29
2015-05-25,Cornell,7.25
2015-05-25,Bellarmine,7.25
2015-05-25,Quinnipiac,7.2
2015-05-25,Sacred Heart,7.15
2015-05-25,Georgetown,7.13
2015-05-25,UMBC,7.08
2015-05-25,St. John's,7.0
2015-05-25,Monmouth,7.0
2015-05-25,Loyola Maryland,6.87
2015-05-25,VMI,6.87
2015-05-25,Yale,6.75
2015-05-25,Army West Point,6.71
2015-05-25,Furman,6.69
2015-05-25,Princeton,6.67
2015-05-25,Duke,6.61
2015-05-25,Massachusetts,6.6
2015-05-25,Mercer,6.54
2015-05-25,Vermont,6.5
2015-05-25,Marist,6.44
2015-05-25,Drexel,6.33
2015-05-25,Canisius,6.33
2015-05-25,Siena,6.29
2015-05-25,Syracuse,6.19
2015-05-25,Colgate,6.19
2015-05-25,Robert Morris,6.14
2015-05-25,Fairfield,6.07
2015-05-25,Delaware,6.07
2015-05-25,Marquette,6.06
2015-05-25,Maryland,6.05
2015-05-25,Stony Brook,5.94
2015-05-25,Jacksonville,5.83
2015-05-25,Johns Hopkins,5.78
2015-05-25,Towson,5.78
2015-05-25,Bryant,5.67
2015-05-25,Rutgers,5.53
2015-05-25,Villanova,5.29
2015-05-25,Penn St.,5.29
2015-05-25,Hofstra,5.29
2015-05-25,Denver,5.26
2015-05-25,Holy Cross,5.23
2015-05-25,Hobart,5.21
2015-05-25,Binghamton,5.15
2015-05-25,Ohio St.,5.05
2015-05-25,Manhattan,4.0
2015-05-25,NJIT,3.67
2015-05-25,UMass Lowell,8.86
2015-05-23,UAlbany,9.89
2015-05-23,Brown,9.41
2015-05-23,Harvard,8.93
2015-05-23,Michigan,8.92
2015-05-23,Dartmouth,8.85
2015-05-23,Richmond,8.25
2015-05-23,Wagner,8.08
2015-05-23,Navy,8.07
