Date,Team,Clearing Percent
2015-05-25,Richmond,0.92
2015-05-25,High Point,0.913
2015-05-25,Syracuse,0.905
2015-05-25,Virginia,0.903
2015-05-25,Yale,0.891
2015-05-25,North Carolina,0.891
2015-05-25,Binghamton,0.89
2015-05-25,Princeton,0.889
2015-05-25,UAlbany,0.888
2015-05-25,Saint Joseph's,0.886
2015-05-25,Detroit Mercy,0.883
2015-05-25,Ohio St.,0.881
2015-05-25,Furman,0.879
2015-05-25,Duke,0.876
2015-05-25,Drexel,0.875
2015-05-25,Loyola Maryland,0.874
2015-05-25,Penn St.,0.874
2015-05-25,Mercer,0.873
2015-05-25,Robert Morris,0.872
2015-05-25,Army West Point,0.872
2015-05-25,Johns Hopkins,0.872
2015-05-25,Jacksonville,0.87
2015-05-25,Brown,0.87
2015-05-25,Stony Brook,0.869
2015-05-25,Towson,0.869
2015-05-25,Marquette,0.869
2015-05-25,Quinnipiac,0.867
2015-05-25,Air Force,0.866
2015-05-25,Maryland,0.866
2015-05-25,Rutgers,0.861
2015-05-25,Marist,0.859
2015-05-25,Bellarmine,0.859
2015-05-25,Massachusetts,0.859
2015-05-25,Lehigh,0.858
2015-05-25,Villanova,0.857
2015-05-25,Denver,0.856
2015-05-25,Hobart,0.852
2015-05-25,Notre Dame,0.852
2015-05-25,Siena,0.849
2015-05-25,St. John's,0.845
2015-05-25,Michigan,0.843
2015-05-25,Georgetown,0.842
2015-05-25,Hofstra,0.841
2015-05-25,Colgate,0.841
2015-05-25,Fairfield,0.839
2015-05-25,Penn,0.838
2015-05-25,Harvard,0.836
2015-05-25,Navy,0.834
2015-05-25,Bucknell,0.832
2015-05-25,Cornell,0.831
2015-05-25,Vermont,0.831
2015-05-25,Delaware,0.827
2015-05-25,Canisius,0.821
2015-05-25,Lafayette,0.815
2015-05-25,Monmouth,0.814
2015-05-25,Hartford,0.814
2015-05-25,Sacred Heart,0.81
2015-05-25,Mount St. Mary's,0.808
2015-05-25,Holy Cross,0.806
2015-05-25,Wagner,0.806
2015-05-25,Providence,0.797
2015-05-25,Dartmouth,0.797
2015-05-25,UMBC,0.788
2015-05-25,Boston U.,0.784
2015-05-25,Bryant,0.779
2015-05-25,Manhattan,0.756
2015-05-25,VMI,0.748
2015-05-25,NJIT,0.725
2015-05-25,UMass Lowell,0.797
2015-05-23,Richmond,0.92
2015-05-23,High Point,0.913
2015-05-23,Syracuse,0.905
2015-05-23,Virginia,0.903
2015-05-23,Yale,0.891
2015-05-23,North Carolina,0.891
2015-05-23,Binghamton,0.89
2015-05-23,Princeton,0.889
2015-05-23,UAlbany,0.888
2015-05-23,Saint Joseph's,0.886
2015-05-23,Detroit Mercy,0.883
2015-05-23,Ohio St.,0.881
2015-05-23,Furman,0.879
2015-05-23,Duke,0.876
2015-05-23,Drexel,0.875
2015-05-23,Loyola Maryland,0.874
2015-05-23,Penn St.,0.874
2015-05-23,Mercer,0.873
2015-05-23,Robert Morris,0.872
2015-05-23,Army West Point,0.872
2015-05-23,Johns Hopkins,0.872
2015-05-23,Jacksonville,0.87
2015-05-23,Brown,0.87
2015-05-23,Stony Brook,0.869
2015-05-23,Towson,0.869
2015-05-23,Marquette,0.869
2015-05-23,Quinnipiac,0.867
2015-05-23,Maryland,0.867
2015-05-23,Air Force,0.866
2015-05-23,Rutgers,0.861
2015-05-23,Marist,0.859
2015-05-23,Bellarmine,0.859
2015-05-23,Massachusetts,0.859
2015-05-23,Lehigh,0.858
2015-05-23,Villanova,0.857
2015-05-23,Hobart,0.852
2015-05-23,Notre Dame,0.852
2015-05-23,Siena,0.849
2015-05-23,Denver,0.847
2015-05-23,St. John's,0.845
2015-05-23,Michigan,0.843
2015-05-23,Georgetown,0.842
2015-05-23,Hofstra,0.841
2015-05-23,Colgate,0.841
2015-05-23,Fairfield,0.839
2015-05-23,Penn,0.838
2015-05-23,Harvard,0.836
2015-05-23,Navy,0.834
2015-05-23,Bucknell,0.832
2015-05-23,Cornell,0.831
2015-05-23,Vermont,0.831
2015-05-23,Delaware,0.827
2015-05-23,Canisius,0.821
2015-05-23,Lafayette,0.815
2015-05-23,Monmouth,0.814
2015-05-23,Hartford,0.814
2015-05-23,Sacred Heart,0.81
2015-05-23,Mount St. Mary's,0.808
2015-05-23,Holy Cross,0.806
2015-05-23,Wagner,0.806
2015-05-23,Providence,0.797
2015-05-23,Dartmouth,0.797
2015-05-23,UMBC,0.788
2015-05-23,Boston U.,0.784
2015-05-23,Bryant,0.779
2015-05-23,Manhattan,0.756
2015-05-23,VMI,0.748
2015-05-23,NJIT,0.725
2015-05-23,UMass Lowell,0.797
2015-05-17,Richmond,0.92
2015-05-17,High Point,0.913
2015-05-17,Syracuse,0.905
2015-05-17,Virginia,0.903
2015-05-17,Yale,0.891
2015-05-17,North Carolina,0.891
2015-05-17,Binghamton,0.89
2015-05-17,Princeton,0.889
2015-05-17,UAlbany,0.888
2015-05-17,Saint Joseph's,0.886
2015-05-17,Detroit Mercy,0.883
2015-05-17,Ohio St.,0.881
2015-05-17,Furman,0.879
2015-05-17,Duke,0.876
