Date,Team,Groundballs per Game
2015-05-25,Brown,38.65
2015-05-25,UAlbany,38.63
2015-05-25,North Carolina,37.59
2015-05-25,Duke,37.0
2015-05-25,Cornell,35.81
2015-05-25,Vermont,35.13
2015-05-25,Syracuse,34.56
2015-05-25,Stony Brook,34.11
2015-05-25,Notre Dame,33.07
2015-05-25,Rutgers,32.47
2015-05-25,Richmond,32.19
2015-05-25,Virginia,32.13
2015-05-25,Navy,32.0
2015-05-25,Hartford,31.93
2015-05-25,Dartmouth,31.85
2015-05-25,Loyola Maryland,31.0
2015-05-25,Harvard,30.93
2015-05-25,Boston U.,30.86
2015-05-25,Bryant,30.61
2015-05-25,Saint Joseph's,30.59
2015-05-25,Georgetown,30.25
2015-05-25,St. John's,30.21
2015-05-25,Denver,30.16
2015-05-25,High Point,29.71
2015-05-25,Lehigh,29.44
2015-05-25,Siena,29.36
2015-05-25,Marist,29.11
2015-05-25,Johns Hopkins,29.06
2015-05-25,Quinnipiac,29.0
2015-05-25,Penn,28.92
2015-05-25,Army West Point,28.53
2015-05-25,Fairfield,28.47
2015-05-25,Detroit Mercy,28.21
2015-05-25,Sacred Heart,28.15
2015-05-25,Ohio St.,28.05
2015-05-25,Hofstra,27.86
2015-05-25,Drexel,27.73
2015-05-25,Michigan,27.62
2015-05-25,Penn St.,27.57
2015-05-25,Yale,27.38
2015-05-25,Princeton,27.27
2015-05-25,Towson,27.11
2015-05-25,Mercer,27.08
2015-05-25,Lafayette,26.79
2015-05-25,VMI,26.73
2015-05-25,Maryland,26.68
2015-05-25,Bellarmine,26.67
2015-05-25,Robert Morris,26.64
2015-05-25,Providence,26.64
2015-05-25,Bucknell,26.6
2015-05-25,Jacksonville,26.58
2015-05-25,Massachusetts,26.33
2015-05-25,Delaware,26.27
2015-05-25,Air Force,26.27
2015-05-25,Mount St. Mary's,26.2
2015-05-25,Binghamton,25.85
2015-05-25,Holy Cross,25.69
2015-05-25,Colgate,25.69
2015-05-25,Canisius,25.27
2015-05-25,Marquette,24.88
2015-05-25,UMBC,24.54
2015-05-25,Monmouth,23.0
2015-05-25,NJIT,22.5
2015-05-25,Villanova,22.5
2015-05-25,Manhattan,22.47
2015-05-25,Wagner,22.31
2015-05-25,Hobart,22.29
2015-05-25,Furman,21.69
2015-05-25,UMass Lowell,27.5
2015-05-23,Brown,38.65
2015-05-23,UAlbany,38.63
2015-05-23,North Carolina,37.59
2015-05-23,Duke,37.0
2015-05-23,Cornell,35.81
2015-05-23,Vermont,35.13
2015-05-23,Syracuse,34.56
2015-05-23,Stony Brook,34.11
2015-05-23,Notre Dame,33.07
2015-05-23,Rutgers,32.47
2015-05-23,Richmond,32.19
2015-05-23,Virginia,32.13
2015-05-23,Navy,32.0
2015-05-23,Hartford,31.93
2015-05-23,Dartmouth,31.85
2015-05-23,Loyola Maryland,31.0
2015-05-23,Harvard,30.93
2015-05-23,Boston U.,30.86
2015-05-23,Bryant,30.61
2015-05-23,Saint Joseph's,30.59
2015-05-23,Denver,30.44
2015-05-23,Georgetown,30.25
2015-05-23,St. John's,30.21
2015-05-23,High Point,29.71
2015-05-23,Lehigh,29.44
2015-05-23,Siena,29.36
2015-05-23,Marist,29.11
2015-05-23,Johns Hopkins,29.06
2015-05-23,Quinnipiac,29.0
2015-05-23,Penn,28.92
2015-05-23,Army West Point,28.53
2015-05-23,Fairfield,28.47
2015-05-23,Detroit Mercy,28.21
2015-05-23,Sacred Heart,28.15
2015-05-23,Ohio St.,28.05
2015-05-23,Hofstra,27.86
2015-05-23,Drexel,27.73
2015-05-23,Michigan,27.62
2015-05-23,Penn St.,27.57
2015-05-23,Yale,27.38
2015-05-23,Princeton,27.27
2015-05-23,Towson,27.11
2015-05-23,Mercer,27.08
2015-05-23,Maryland,27.06
2015-05-23,Lafayette,26.79
2015-05-23,VMI,26.73
2015-05-23,Bellarmine,26.67
2015-05-23,Robert Morris,26.64
2015-05-23,Providence,26.64
2015-05-23,Bucknell,26.6
2015-05-23,Jacksonville,26.58
2015-05-23,Massachusetts,26.33
2015-05-23,Air Force,26.27
2015-05-23,Delaware,26.27
2015-05-23,Mount St. Mary's,26.2
2015-05-23,Binghamton,25.85
2015-05-23,Holy Cross,25.69
2015-05-23,Colgate,25.69
2015-05-23,Canisius,25.27
2015-05-23,Marquette,24.88
2015-05-23,UMBC,24.54
2015-05-23,Monmouth,23.0
2015-05-23,NJIT,22.5
2015-05-23,Villanova,22.5
2015-05-23,Manhattan,22.47
2015-05-23,Wagner,22.31
2015-05-23,Hobart,22.29
2015-05-23,Furman,21.69
2015-05-23,UMass Lowell,27.5
2015-05-17,Brown,38.65
2015-05-17,UAlbany,38.63
2015-05-17,North Carolina,37.59
2015-05-17,Duke,37.0
2015-05-17,Cornell,35.81
2015-05-17,Vermont,35.13
2015-05-17,Syracuse,34.56
2015-05-17,Stony Brook,34.11
2015-05-17,Notre Dame,32.57
2015-05-17,Rutgers,32.47
2015-05-17,Richmond,32.19
2015-05-17,Virginia,32.13
2015-05-17,Navy,32.0
2015-05-17,Hartford,31.93
2015-05-17,Dartmouth,31.85
2015-05-17,Loyola Maryland,31.0
2015-05-17,Harvard,30.93
2015-05-17,Boston U.,30.86
2015-05-17,Bryant,30.61
2015-05-17,Saint Joseph's,30.59
2015-05-17,Georgetown,30.25
2015-05-17,St. John's,30.21
2015-05-17,Denver,30.06
2015-05-17,High Point,29.71
2015-05-17,Johns Hopkins,29.53
2015-05-17,Lehigh,29.44
2015-05-17,Siena,29.36
2015-05-17,Marist,29.11
2015-05-17,Quinnipiac,29.0
2015-05-17,Penn,28.92
2015-05-17,Army West Point,28.53
2015-05-17,Fairfield,28.47
2015-05-17,Detroit Mercy,28.21
2015-05-17,Sacred Heart,28.15
2015-05-17,Ohio St.,28.05
2015-05-17,Hofstra,27.86
2015-05-17,Drexel,27.73
2015-05-17,Michigan,27.62
2015-05-17,Penn St.,27.57
2015-05-17,Yale,27.38
2015-05-17,Princeton,27.27
2015-05-17,Towson,27.11
2015-05-17,Mercer,27.08
2015-05-17,Lafayette,26.79
2015-05-17,VMI,26.73
2015-05-17,Bellarmine,26.67
2015-05-17,Providence,26.64
2015-05-17,Robert Morris,26.64
2015-05-17,Bucknell,26.6
2015-05-17,Maryland,26.59
2015-05-17,Jacksonville,26.58
2015-05-17,Massachusetts,26.33
2015-05-17,Delaware,26.27
2015-05-17,Air Force,26.27
2015-05-17,Mount St. Mary's,26.2
2015-05-17,Binghamton,25.85
2015-05-17,Holy Cross,25.69
2015-05-17,Colgate,25.69
2015-05-17,Canisius,25.27
2015-05-17,Marquette,24.88
2015-05-17,UMBC,24.54
2015-05-17,Monmouth,23.0
2015-05-17,NJIT,22.5
2015-05-17,Villanova,22.5
2015-05-17,Manhattan,22.47
2015-05-17,Wagner,22.31
2015-05-17,Hobart,22.29
2015-05-17,Furman,21.69
2015-05-17,UMass Lowell,27.5
2015-05-16,Brown,38.65
2015-05-16,UAlbany,38.63
2015-05-16,North Carolina,38.44
2015-05-16,Duke,37.0
2015-05-16,Cornell,35.81
2015-05-16,Vermont,35.13
2015-05-16,Syracuse,34.6
2015-05-16,Stony Brook,34.11
2015-05-16,Notre Dame,32.57
2015-05-16,Rutgers,32.47
2015-05-16,Richmond,32.19
2015-05-16,Virginia,32.13
2015-05-16,Navy,32.0
2015-05-16,Hartford,31.93
2015-05-16,Dartmouth,31.85
2015-05-16,Loyola Maryland,31.0
2015-05-16,Harvard,30.93
2015-05-16,Boston U.,30.86
2015-05-16,Bryant,30.61
2015-05-16,Saint Joseph's,30.59
2015-05-16,Georgetown,30.25
2015-05-16,St. John's,30.21
2015-05-16,Denver,30.06
2015-05-16,High Point,29.71
2015-05-16,Johns Hopkins,29.63
2015-05-16,Lehigh,29.44
2015-05-16,Siena,29.36
2015-05-16,Marist,29.11
2015-05-16,Quinnipiac,29.0
2015-05-16,Penn,28.92
