Date,Team,Man Down Defense Percent
2015-05-25,Saint Joseph's,0.8
2015-05-25,Richmond,0.789
2015-05-25,Providence,0.767
2015-05-25,Furman,0.756
2015-05-25,Bellarmine,0.74
2015-05-25,Towson,0.729
2015-05-25,High Point,0.727
2015-05-25,Monmouth,0.717
2015-05-25,Yale,0.712
2015-05-25,Colgate,0.711
2015-05-25,Marist,0.711
2015-05-25,Hobart,0.706
2015-05-25,Maryland,0.702
2015-05-25,Dartmouth,0.696
2015-05-25,Lafayette,0.689
2015-05-25,Syracuse,0.688
2015-05-25,Manhattan,0.687
2015-05-25,Brown,0.683
2015-05-25,Boston U.,0.682
2015-05-25,Michigan,0.675
2015-05-25,Penn St.,0.674
2015-05-25,Drexel,0.672
2015-05-25,Quinnipiac,0.667
2015-05-25,Cornell,0.656
2015-05-25,Siena,0.655
2015-05-25,Delaware,0.653
2015-05-25,North Carolina,0.652
2015-05-25,Penn,0.652
2015-05-25,Mount St. Mary's,0.647
2015-05-25,Lehigh,0.645
2015-05-25,Fairfield,0.64
2015-05-25,Wagner,0.639
2015-05-25,Massachusetts,0.636
2015-05-25,Mercer,0.636
2015-05-25,Marquette,0.633
2015-05-25,Harvard,0.629
2015-05-25,Vermont,0.629
2015-05-25,NJIT,0.627
2015-05-25,Villanova,0.625
2015-05-25,Holy Cross,0.622
2015-05-25,UMBC,0.622
2015-05-25,Johns Hopkins,0.62
2015-05-25,Virginia,0.62
2015-05-25,Army West Point,0.615
2015-05-25,Jacksonville,0.613
2015-05-25,Ohio St.,0.613
2015-05-25,UAlbany,0.612
2015-05-25,Robert Morris,0.6
2015-05-25,Stony Brook,0.593
2015-05-25,Detroit Mercy,0.592
2015-05-25,Air Force,0.591
2015-05-25,Rutgers,0.585
2015-05-25,Navy,0.583
2015-05-25,Bucknell,0.579
2015-05-25,Hofstra,0.578
2015-05-25,Denver,0.571
2015-05-25,Duke,0.569
2015-05-25,Bryant,0.568
2015-05-25,Notre Dame,0.553
2015-05-25,Georgetown,0.547
2015-05-25,Sacred Heart,0.537
2015-05-25,VMI,0.535
2015-05-25,St. John's,0.529
2015-05-25,Hartford,0.517
2015-05-25,Binghamton,0.516
2015-05-25,Loyola Maryland,0.515
2015-05-25,Canisius,0.514
2015-05-25,Princeton,0.484
2015-05-25,UMass Lowell,0.519
2015-05-23,Saint Joseph's,0.8
2015-05-23,Richmond,0.789
2015-05-23,Providence,0.767
2015-05-23,Furman,0.756
2015-05-23,Bellarmine,0.74
2015-05-23,Towson,0.729
2015-05-23,High Point,0.727
2015-05-23,Monmouth,0.717
2015-05-23,Yale,0.712
2015-05-23,Colgate,0.711
2015-05-23,Maryland,0.711
2015-05-23,Marist,0.711
2015-05-23,Hobart,0.706
2015-05-23,Dartmouth,0.696
2015-05-23,Lafayette,0.689
2015-05-23,Syracuse,0.688
2015-05-23,Manhattan,0.687
2015-05-23,Brown,0.683
2015-05-23,Boston U.,0.682
2015-05-23,Michigan,0.675
2015-05-23,Penn St.,0.674
2015-05-23,Drexel,0.672
2015-05-23,Quinnipiac,0.667
2015-05-23,Cornell,0.656
2015-05-23,Siena,0.655
2015-05-23,Delaware,0.653
2015-05-23,North Carolina,0.652
2015-05-23,Penn,0.652
2015-05-23,Mount St. Mary's,0.647
2015-05-23,Lehigh,0.645
2015-05-23,Fairfield,0.64
2015-05-23,Wagner,0.639
2015-05-23,Massachusetts,0.636
2015-05-23,Mercer,0.636
2015-05-23,Marquette,0.633
2015-05-23,Harvard,0.629
2015-05-23,Vermont,0.629
2015-05-23,NJIT,0.627
2015-05-23,Villanova,0.625
2015-05-23,Holy Cross,0.622
2015-05-23,UMBC,0.622
2015-05-23,Johns Hopkins,0.62
2015-05-23,Virginia,0.62
