Date,Team,Opponent Clear Percent
2020-03-12,Bucknell,0.69
2020-03-12,Virginia,0.737
2020-03-12,North Carolina,0.741
2020-03-12,Jacksonville,0.743
2020-03-12,Fairfield,0.764
2020-03-12,Princeton,0.765
2020-03-12,Georgetown,0.768
2020-03-12,Loyola Maryland,0.772
2020-03-12,Army West Point,0.775
2020-03-12,Massachusetts,0.78
2020-03-12,Ohio St.,0.787
2020-03-12,Vermont,0.792
2020-03-12,Cornell,0.792
2020-03-12,Navy,0.796
2020-03-12,Yale,0.798
2020-03-12,Penn St.,0.799
2020-03-12,Furman,0.8
2020-03-12,Michigan,0.803
2020-03-12,Robert Morris,0.806
2020-03-12,Holy Cross,0.806
2020-03-12,Hofstra,0.808
2020-03-12,Rutgers,0.809
2020-03-12,Bellarmine,0.812
2020-03-12,Syracuse,0.812
2020-03-12,Cleveland St.,0.824
2020-03-12,UAlbany,0.824
2020-03-12,Drexel,0.824
2020-03-12,Siena,0.827
2020-03-12,Denver,0.829
2020-03-12,Stony Brook,0.831
2020-03-12,Brown,0.832
2020-03-12,NJIT,0.832
2020-03-12,Richmond,0.834
2020-03-12,Penn,0.836
2020-03-12,Boston U.,0.843
2020-03-12,UMass Lowell,0.843
2020-03-12,Lehigh,0.845
2020-03-12,Dartmouth,0.857
2020-03-12,Bryant,0.857
2020-03-12,St. John's,0.858
2020-03-12,Hobart,0.862
2020-03-12,Sacred Heart,0.863
2020-03-12,Duke,0.866
2020-03-12,Villanova,0.867
2020-03-12,Monmouth,0.869
2020-03-12,Hampton,0.87
2020-03-12,Manhattan,0.871
2020-03-12,St. Bonaventure,0.872
2020-03-12,Mercer,0.872
2020-03-12,Colgate,0.873
2020-03-12,Quinnipiac,0.874
2020-03-12,Marist,0.875
2020-03-12,VMI,0.877
2020-03-12,Canisius,0.878
2020-03-12,Air Force,0.879
2020-03-12,Delaware,0.881
2020-03-12,UMBC,0.883
2020-03-12,Mount St. Mary's,0.885
2020-03-12,Marquette,0.891
2020-03-12,Johns Hopkins,0.892
2020-03-12,Providence,0.893
2020-03-12,Hartford,0.893
2020-03-12,Maryland,0.894
2020-03-12,High Point,0.897
2020-03-12,Wagner,0.903
2020-03-12,Utah,0.903
2020-03-12,Notre Dame,0.906
2020-03-12,Lafayette,0.912
2020-03-12,Towson,0.915
2020-03-12,Harvard,0.918
2020-03-12,Binghamton,0.92
2020-03-12,LIU,0.928
2020-03-12,Saint Joseph's,0.931
2020-03-12,Detroit Mercy,0.942
2020-03-12,Merrimack,0.835
2020-03-11,Bucknell,0.69
2020-03-11,Virginia,0.737
2020-03-11,North Carolina,0.741
2020-03-11,Jacksonville,0.743
2020-03-11,Fairfield,0.764
2020-03-11,Princeton,0.765
2020-03-11,Georgetown,0.768
2020-03-11,Loyola Maryland,0.772
2020-03-11,Army West Point,0.775
2020-03-11,Massachusetts,0.78
2020-03-11,Ohio St.,0.787
2020-03-11,Vermont,0.792
2020-03-11,Cornell,0.792
2020-03-11,Navy,0.796
2020-03-11,Yale,0.798
2020-03-11,Penn St.,0.799
2020-03-11,Furman,0.8
2020-03-11,Michigan,0.803
2020-03-11,Robert Morris,0.806
2020-03-11,Holy Cross,0.806
2020-03-11,Hofstra,0.808
2020-03-11,Rutgers,0.809
2020-03-11,Bellarmine,0.812
2020-03-11,Syracuse,0.812
2020-03-11,Cleveland St.,0.824
2020-03-11,UAlbany,0.824
2020-03-11,Drexel,0.824
2020-03-11,Siena,0.827
2020-03-11,Denver,0.829
2020-03-11,Stony Brook,0.831
2020-03-11,Brown,0.832
2020-03-11,NJIT,0.832
2020-03-11,Richmond,0.834
2020-03-11,Penn,0.836
2020-03-11,Boston U.,0.843
2020-03-11,UMass Lowell,0.843
2020-03-11,Lehigh,0.845
2020-03-11,Dartmouth,0.857
2020-03-11,Bryant,0.857
2020-03-11,St. John's,0.858
2020-03-11,Hobart,0.862
2020-03-11,Sacred Heart,0.863
2020-03-11,Duke,0.866
2020-03-11,Villanova,0.867
2020-03-11,Monmouth,0.869
2020-03-11,Hampton,0.87
2020-03-11,Manhattan,0.871
2020-03-11,St. Bonaventure,0.872
2020-03-11,Mercer,0.872
2020-03-11,Colgate,0.873
2020-03-11,Quinnipiac,0.874
2020-03-11,Marist,0.875
2020-03-11,VMI,0.877
2020-03-11,Canisius,0.878
2020-03-11,Air Force,0.879
2020-03-11,Delaware,0.881
2020-03-11,UMBC,0.883
2020-03-11,Mount St. Mary's,0.885
2020-03-11,Marquette,0.891
2020-03-11,Johns Hopkins,0.892
2020-03-11,Providence,0.893
2020-03-11,Hartford,0.893
2020-03-11,Maryland,0.894
2020-03-11,High Point,0.897
2020-03-11,Wagner,0.903
2020-03-11,Utah,0.903
2020-03-11,Notre Dame,0.906
2020-03-11,Lafayette,0.912
2020-03-11,Towson,0.915
2020-03-11,Harvard,0.918
2020-03-11,Binghamton,0.92
2020-03-11,LIU,0.928
2020-03-11,Saint Joseph's,0.931
2020-03-11,Detroit Mercy,0.942
2020-03-11,Merrimack,0.835
2020-03-10,Bucknell,0.69
2020-03-10,Virginia,0.737
2020-03-10,North Carolina,0.741
2020-03-10,Jacksonville,0.743
2020-03-10,Fairfield,0.764
2020-03-10,Princeton,0.765
2020-03-10,Georgetown,0.768
2020-03-10,Loyola Maryland,0.772
2020-03-10,Army West Point,0.775
2020-03-10,Massachusetts,0.78
2020-03-10,Ohio St.,0.787
2020-03-10,Vermont,0.792
2020-03-10,Cornell,0.792
2020-03-10,Navy,0.796
2020-03-10,Yale,0.798
2020-03-10,Michigan,0.798
2020-03-10,Penn St.,0.799
2020-03-10,Furman,0.8
2020-03-10,Robert Morris,0.806
2020-03-10,Holy Cross,0.806
2020-03-10,Hofstra,0.808
2020-03-10,Rutgers,0.809
2020-03-10,Bellarmine,0.812
2020-03-10,Syracuse,0.812
2020-03-10,Cleveland St.,0.824
2020-03-10,UAlbany,0.824
2020-03-10,Drexel,0.824
2020-03-10,Siena,0.827
2020-03-10,Denver,0.829
2020-03-10,Stony Brook,0.831
2020-03-10,Brown,0.832
2020-03-10,NJIT,0.832
2020-03-10,Richmond,0.834
2020-03-10,Penn,0.836
2020-03-10,Boston U.,0.843
2020-03-10,UMass Lowell,0.843
2020-03-10,Lehigh,0.845
2020-03-10,Dartmouth,0.857
2020-03-10,Bryant,0.857
2020-03-10,St. John's,0.858
2020-03-10,Hobart,0.862
2020-03-10,Sacred Heart,0.863
2020-03-10,Duke,0.866
2020-03-10,Villanova,0.867
2020-03-10,Monmouth,0.869
2020-03-10,Manhattan,0.871
2020-03-10,St. Bonaventure,0.872
2020-03-10,Mercer,0.872
