Date,Team,Saves per Game
2015-05-25,Detroit Mercy,15.14
2015-05-25,Providence,13.93
2015-05-25,Michigan,13.62
2015-05-25,Vermont,13.44
2015-05-25,Jacksonville,13.25
2015-05-25,Harvard,13.21
2015-05-25,Georgetown,13.19
2015-05-25,Virginia,13.0
2015-05-25,High Point,12.94
2015-05-25,Mercer,12.77
2015-05-25,Penn St.,12.57
2015-05-25,Furman,12.23
2015-05-25,UAlbany,12.21
2015-05-25,Quinnipiac,12.2
2015-05-25,Hobart,12.07
2015-05-25,Brown,11.94
2015-05-25,Hartford,11.93
2015-05-25,Monmouth,11.86
2015-05-25,Manhattan,11.67
2015-05-25,Boston U.,11.64
2015-05-25,Siena,11.57
2015-05-25,Delaware,11.53
2015-05-25,VMI,11.4
2015-05-25,NJIT,11.33
2015-05-25,UMBC,11.31
2015-05-25,Marist,11.28
2015-05-25,Bryant,11.22
2015-05-25,Sacred Heart,11.15
2015-05-25,North Carolina,11.12
2015-05-25,Lafayette,11.07
2015-05-25,Mount St. Mary's,11.07
2015-05-25,Duke,11.0
2015-05-25,Princeton,11.0
2015-05-25,Villanova,10.93
2015-05-25,Notre Dame,10.87
2015-05-25,Penn,10.85
2015-05-25,Bellarmine,10.83
2015-05-25,Robert Morris,10.79
2015-05-25,Richmond,10.75
2015-05-25,Massachusetts,10.73
2015-05-25,Marquette,10.63
2015-05-25,Loyola Maryland,10.47
2015-05-25,Fairfield,10.47
2015-05-25,St. John's,10.43
2015-05-25,Syracuse,10.38
2015-05-25,Dartmouth,10.15
2015-05-25,Canisius,10.13
2015-05-25,Denver,10.0
2015-05-25,Lehigh,10.0
2015-05-25,Towson,9.94
2015-05-25,Binghamton,9.92
2015-05-25,Johns Hopkins,9.83
2015-05-25,Bucknell,9.8
2015-05-25,Colgate,9.75
2015-05-25,Maryland,9.68
2015-05-25,Saint Joseph's,9.53
2015-05-25,Ohio St.,9.53
2015-05-25,Air Force,9.47
2015-05-25,Drexel,9.47
2015-05-25,Holy Cross,9.46
2015-05-25,Wagner,9.31
2015-05-25,Navy,9.14
2015-05-25,Cornell,9.06
2015-05-25,Rutgers,9.0
2015-05-25,Army West Point,8.82
2015-05-25,Yale,8.44
2015-05-25,Stony Brook,8.33
2015-05-25,Hofstra,8.14
2015-05-25,UMass Lowell,13.0
2015-05-23,Detroit Mercy,15.14
2015-05-23,Providence,13.93
2015-05-23,Michigan,13.62
2015-05-23,Vermont,13.44
2015-05-23,Jacksonville,13.25
2015-05-23,Harvard,13.21
2015-05-23,Georgetown,13.19
2015-05-23,Virginia,13.0
2015-05-23,High Point,12.94
2015-05-23,Mercer,12.77
2015-05-23,Penn St.,12.57
2015-05-23,Furman,12.23
2015-05-23,UAlbany,12.21
2015-05-23,Quinnipiac,12.2
2015-05-23,Hobart,12.07
2015-05-23,Brown,11.94
2015-05-23,Hartford,11.93
2015-05-23,Monmouth,11.86
2015-05-23,Manhattan,11.67
2015-05-23,Boston U.,11.64
2015-05-23,Siena,11.57
2015-05-23,Delaware,11.53
2015-05-23,VMI,11.4
2015-05-23,NJIT,11.33
2015-05-23,UMBC,11.31
2015-05-23,Marist,11.28
2015-05-23,Bryant,11.22
2015-05-23,Sacred Heart,11.15
2015-05-23,North Carolina,11.12
2015-05-23,Lafayette,11.07
2015-05-23,Mount St. Mary's,11.07
2015-05-23,Duke,11.0
2015-05-23,Princeton,11.0
2015-05-23,Villanova,10.93
2015-05-23,Notre Dame,10.87
2015-05-23,Penn,10.85
2015-05-23,Bellarmine,10.83
2015-05-23,Robert Morris,10.79
2015-05-23,Richmond,10.75
2015-05-23,Massachusetts,10.73
2015-05-23,Marquette,10.63
2015-05-23,Loyola Maryland,10.47
2015-05-23,Fairfield,10.47
2015-05-23,St. John's,10.43
2015-05-23,Syracuse,10.38
2015-05-23,Dartmouth,10.15
2015-05-23,Canisius,10.13
2015-05-23,Lehigh,10.0
2015-05-23,Towson,9.94
2015-05-23,Binghamton,9.92
2015-05-23,Denver,9.83
2015-05-23,Johns Hopkins,9.83
2015-05-23,Bucknell,9.8
2015-05-23,Colgate,9.75
2015-05-23,Maryland,9.67
2015-05-23,Saint Joseph's,9.53
2015-05-23,Ohio St.,9.53
2015-05-23,Air Force,9.47
2015-05-23,Drexel,9.47
2015-05-23,Holy Cross,9.46
2015-05-23,Wagner,9.31
2015-05-23,Navy,9.14
2015-05-23,Cornell,9.06
2015-05-23,Rutgers,9.0
2015-05-23,Army West Point,8.82
2015-05-23,Yale,8.44
2015-05-23,Stony Brook,8.33
2015-05-23,Hofstra,8.14
2015-05-23,UMass Lowell,13.0
2015-05-17,Detroit Mercy,15.14
2015-05-17,Providence,13.93
2015-05-17,Michigan,13.62
2015-05-17,Vermont,13.44
2015-05-17,Jacksonville,13.25
2015-05-17,Harvard,13.21
2015-05-17,Georgetown,13.19
2015-05-17,Virginia,13.0
2015-05-17,High Point,12.94
2015-05-17,Mercer,12.77
2015-05-17,Penn St.,12.57
2015-05-17,Furman,12.23
2015-05-17,UAlbany,12.21
2015-05-17,Quinnipiac,12.2
2015-05-17,Hobart,12.07
2015-05-17,Brown,11.94
2015-05-17,Hartford,11.93
2015-05-17,Monmouth,11.86
2015-05-17,Manhattan,11.67
2015-05-17,Boston U.,11.64
2015-05-17,Siena,11.57
2015-05-17,Delaware,11.53
2015-05-17,VMI,11.4
2015-05-17,NJIT,11.33
2015-05-17,UMBC,11.31
2015-05-17,Marist,11.28
2015-05-17,Bryant,11.22
2015-05-17,Sacred Heart,11.15
2015-05-17,North Carolina,11.12
2015-05-17,Lafayette,11.07
2015-05-17,Mount St. Mary's,11.07
2015-05-17,Princeton,11.0
2015-05-17,Duke,11.0
2015-05-17,Villanova,10.93
2015-05-17,Notre Dame,10.86
2015-05-17,Penn,10.85
2015-05-17,Bellarmine,10.83
2015-05-17,Robert Morris,10.79
2015-05-17,Richmond,10.75
2015-05-17,Massachusetts,10.73
2015-05-17,Marquette,10.63
2015-05-17,Loyola Maryland,10.47
2015-05-17,Fairfield,10.47
2015-05-17,St. John's,10.43
2015-05-17,Syracuse,10.38
2015-05-17,Dartmouth,10.15
2015-05-17,Canisius,10.13
2015-05-17,Lehigh,10.0
2015-05-17,Towson,9.94
2015-05-17,Binghamton,9.92
2015-05-17,Maryland,9.88
2015-05-17,Bucknell,9.8
2015-05-17,Colgate,9.75
2015-05-17,Johns Hopkins,9.65
2015-05-17,Denver,9.65
2015-05-17,Saint Joseph's,9.53
2015-05-17,Ohio St.,9.53
2015-05-17,Drexel,9.47
2015-05-17,Air Force,9.47
2015-05-17,Holy Cross,9.46
2015-05-17,Wagner,9.31
2015-05-17,Navy,9.14
2015-05-17,Cornell,9.06
2015-05-17,Rutgers,9.0
2015-05-17,Army West Point,8.82
2015-05-17,Yale,8.44
2015-05-17,Stony Brook,8.33
2015-05-17,Hofstra,8.14
2015-05-17,UMass Lowell,13.0
2015-05-16,Detroit Mercy,15.14
2015-05-16,Providence,13.93
2015-05-16,Michigan,13.62
2015-05-16,Vermont,13.44
2015-05-16,Jacksonville,13.25
2015-05-16,Harvard,13.21
2015-05-16,Georgetown,13.19
2015-05-16,Virginia,13.0
2015-05-16,High Point,12.94
2015-05-16,Mercer,12.77
