Date,Team,Average Margin
2015-05-25,UAlbany,7.11
2015-05-25,Denver,5.26
2015-05-25,Syracuse,5.25
2015-05-25,Richmond,4.31
2015-05-25,North Carolina,4.18
2015-05-25,Notre Dame,3.93
2015-05-25,Brown,3.53
2015-05-25,Yale,3.25
2015-05-25,Army West Point,3.24
2015-05-25,Marist,3.17
2015-05-25,Maryland,3.16
2015-05-25,Saint Joseph's,3.06
2015-05-25,Stony Brook,3.0
2015-05-25,Duke,2.72
2015-05-25,Johns Hopkins,2.5
2015-05-25,Fairfield,2.13
2015-05-25,Cornell,1.56
2015-05-25,Hofstra,1.5
2015-05-25,Navy,1.21
2015-05-25,Princeton,1.2
2015-05-25,Colgate,1.19
2015-05-25,Virginia,1.07
2015-05-25,High Point,1.06
2015-05-25,Air Force,0.93
2015-05-25,Loyola Maryland,0.87
2015-05-25,Ohio St.,0.84
2015-05-25,Towson,0.83
2015-05-25,Georgetown,0.75
2015-05-25,Boston U.,0.71
2015-05-25,Bellarmine,0.25
2015-05-25,Lehigh,0.13
2015-05-25,Rutgers,0.07
2015-05-25,Bryant,0.06
2015-05-25,Harvard,0.0
2015-05-25,Binghamton,0.0
2015-05-25,Detroit Mercy,-0.29
2015-05-25,Marquette,-0.31
2015-05-25,Bucknell,-0.33
2015-05-25,Penn St.,-0.93
2015-05-25,Hobart,-0.93
2015-05-25,Massachusetts,-1.0
2015-05-25,Villanova,-1.0
2015-05-25,Monmouth,-1.0
2015-05-25,Wagner,-1.08
2015-05-25,Drexel,-1.13
2015-05-25,Hartford,-1.27
2015-05-25,Mount St. Mary's,-1.53
2015-05-25,UMBC,-1.54
2015-05-25,Delaware,-1.6
2015-05-25,Penn,-1.62
2015-05-25,Michigan,-1.69
2015-05-25,Robert Morris,-1.79
2015-05-25,Quinnipiac,-1.87
2015-05-25,Furman,-2.0
2015-05-25,Vermont,-2.13
2015-05-25,St. John's,-2.14
2015-05-25,Siena,-2.29
2015-05-25,Mercer,-2.54
2015-05-25,Holy Cross,-2.62
2015-05-25,Providence,-2.79
2015-05-25,Sacred Heart,-3.08
2015-05-25,Canisius,-3.13
2015-05-25,Lafayette,-3.14
2015-05-25,Jacksonville,-3.25
2015-05-25,Dartmouth,-3.62
2015-05-25,NJIT,-8.75
2015-05-25,Manhattan,-9.6
2015-05-25,VMI,-10.2
2015-05-25,UMass Lowell,-8.0
2015-05-23,UAlbany,7.11
2015-05-23,Denver,5.28
2015-05-23,Syracuse,5.25
2015-05-23,Richmond,4.31
2015-05-23,North Carolina,4.18
2015-05-23,Notre Dame,3.93
2015-05-23,Maryland,3.61
2015-05-23,Brown,3.53
2015-05-23,Yale,3.25
2015-05-23,Army West Point,3.24
2015-05-23,Marist,3.17
2015-05-23,Saint Joseph's,3.06
2015-05-23,Stony Brook,3.0
2015-05-23,Duke,2.72
2015-05-23,Johns Hopkins,2.5
2015-05-23,Fairfield,2.13
2015-05-23,Cornell,1.56
2015-05-23,Hofstra,1.5
2015-05-23,Navy,1.21
2015-05-23,Princeton,1.2
2015-05-23,Colgate,1.19
2015-05-23,Virginia,1.07
2015-05-23,High Point,1.06
2015-05-23,Air Force,0.93
2015-05-23,Loyola Maryland,0.87
2015-05-23,Ohio St.,0.84
2015-05-23,Towson,0.83
2015-05-23,Georgetown,0.75
2015-05-23,Boston U.,0.71
2015-05-23,Bellarmine,0.25
2015-05-23,Lehigh,0.13
2015-05-23,Rutgers,0.07
2015-05-23,Bryant,0.06
2015-05-23,Harvard,0.0
2015-05-23,Binghamton,0.0
2015-05-23,Detroit Mercy,-0.29
2015-05-23,Marquette,-0.31
2015-05-23,Bucknell,-0.33
2015-05-23,Penn St.,-0.93
2015-05-23,Hobart,-0.93
2015-05-23,Massachusetts,-1.0
2015-05-23,Villanova,-1.0
2015-05-23,Monmouth,-1.0
2015-05-23,Wagner,-1.08
2015-05-23,Drexel,-1.13
2015-05-23,Hartford,-1.27
2015-05-23,Mount St. Mary's,-1.53
2015-05-23,UMBC,-1.54
2015-05-23,Delaware,-1.6
2015-05-23,Penn,-1.62
2015-05-23,Michigan,-1.69
2015-05-23,Robert Morris,-1.79
2015-05-23,Quinnipiac,-1.87
2015-05-23,Furman,-2.0
2015-05-23,Vermont,-2.13
2015-05-23,St. John's,-2.14
2015-05-23,Siena,-2.29
2015-05-23,Mercer,-2.54
2015-05-23,Holy Cross,-2.62
2015-05-23,Providence,-2.79
2015-05-23,Sacred Heart,-3.08
2015-05-23,Canisius,-3.13
2015-05-23,Lafayette,-3.14
2015-05-23,Jacksonville,-3.25
2015-05-23,Dartmouth,-3.62
2015-05-23,NJIT,-8.75
2015-05-23,Manhattan,-9.6
2015-05-23,VMI,-10.2
2015-05-23,UMass Lowell,-8.0
2015-05-17,UAlbany,7.11
2015-05-17,Denver,5.53
2015-05-17,Syracuse,5.25
2015-05-17,Richmond,4.31
2015-05-17,Notre Dame,4.29
2015-05-17,North Carolina,4.18
2015-05-17,Maryland,3.76
2015-05-17,Brown,3.53
2015-05-17,Yale,3.25
2015-05-17,Army West Point,3.24
2015-05-17,Marist,3.17
2015-05-17,Saint Joseph's,3.06
2015-05-17,Stony Brook,3.0
2015-05-17,Duke,2.72
2015-05-17,Johns Hopkins,2.71
2015-05-17,Fairfield,2.13
2015-05-17,Cornell,1.56
2015-05-17,Hofstra,1.5
2015-05-17,Navy,1.21
2015-05-17,Princeton,1.2
2015-05-17,Colgate,1.19
2015-05-17,Virginia,1.07
2015-05-17,High Point,1.06
2015-05-17,Air Force,0.93
2015-05-17,Loyola Maryland,0.87
2015-05-17,Ohio St.,0.84
2015-05-17,Towson,0.83
2015-05-17,Georgetown,0.75
2015-05-17,Boston U.,0.71
2015-05-17,Bellarmine,0.25
2015-05-17,Lehigh,0.13
2015-05-17,Rutgers,0.07
2015-05-17,Bryant,0.06
2015-05-17,Harvard,0.0
2015-05-17,Binghamton,0.0
2015-05-17,Detroit Mercy,-0.29
2015-05-17,Marquette,-0.31
2015-05-17,Bucknell,-0.33
2015-05-17,Penn St.,-0.93
2015-05-17,Hobart,-0.93
2015-05-17,Massachusetts,-1.0
2015-05-17,Villanova,-1.0
2015-05-17,Monmouth,-1.0
2015-05-17,Wagner,-1.08
2015-05-17,Drexel,-1.13
2015-05-17,Hartford,-1.27
2015-05-17,Mount St. Mary's,-1.53
2015-05-17,UMBC,-1.54
2015-05-17,Delaware,-1.6
2015-05-17,Penn,-1.62
2015-05-17,Michigan,-1.69
2015-05-17,Robert Morris,-1.79
2015-05-17,Quinnipiac,-1.87
2015-05-17,Furman,-2.0
2015-05-17,Vermont,-2.13
2015-05-17,St. John's,-2.14
2015-05-17,Siena,-2.29
2015-05-17,Mercer,-2.54
2015-05-17,Holy Cross,-2.62
2015-05-17,Providence,-2.79
2015-05-17,Sacred Heart,-3.08
2015-05-17,Canisius,-3.13
2015-05-17,Lafayette,-3.14
2015-05-17,Jacksonville,-3.25
2015-05-17,Dartmouth,-3.62
2015-05-17,NJIT,-8.75
2015-05-17,Manhattan,-9.6
2015-05-17,VMI,-10.2
2015-05-17,UMass Lowell,-8.0
2015-05-16,UAlbany,7.11
2015-05-16,Syracuse,5.67
2015-05-16,Denver,5.53
2015-05-16,North Carolina,4.88
2015-05-16,Richmond,4.31
2015-05-16,Notre Dame,4.29
2015-05-16,Maryland,3.56
2015-05-16,Brown,3.53
2015-05-16,Yale,3.25
2015-05-16,Army West Point,3.24
2015-05-16,Marist,3.17
2015-05-16,Saint Joseph's,3.06
2015-05-16,Stony Brook,3.0
2015-05-16,Johns Hopkins,2.81
2015-05-16,Duke,2.72
2015-05-16,Fairfield,2.13
2015-05-16,Cornell,1.56
2015-05-16,Hofstra,1.5
2015-05-16,Navy,1.21
2015-05-16,Princeton,1.2
2015-05-16,Colgate,1.19
2015-05-16,Virginia,1.07
2015-05-16,High Point,1.06
2015-05-16,Air Force,0.93
2015-05-16,Loyola Maryland,0.87
2015-05-16,Ohio St.,0.84
2015-05-16,Towson,0.83
2015-05-16,Georgetown,0.75
2015-05-16,Boston U.,0.71
2015-05-16,Bellarmine,0.25
2015-05-16,Lehigh,0.13
2015-05-16,Rutgers,0.07
2015-05-16,Bryant,0.06
2015-05-16,Harvard,0.0
2015-05-16,Binghamton,0.0
2015-05-16,Detroit Mercy,-0.29
2015-05-16,Marquette,-0.31
2015-05-16,Bucknell,-0.33
2015-05-16,Penn St.,-0.93
2015-05-16,Hobart,-0.93
2015-05-16,Massachusetts,-1.0
2015-05-16,Villanova,-1.0
2015-05-16,Monmouth,-1.0
2015-05-16,Wagner,-1.08
2015-05-16,Drexel,-1.13
2015-05-16,Hartford,-1.27
2015-05-16,Mount St. Mary's,-1.53
2015-05-16,UMBC,-1.54
2015-05-16,Delaware,-1.6
2015-05-16,Penn,-1.62
2015-05-16,Michigan,-1.69
2015-05-16,Robert Morris,-1.79
2015-05-16,Quinnipiac,-1.87
2015-05-16,Furman,-2.0
2015-05-16,Vermont,-2.13
2015-05-16,St. John's,-2.14
2015-05-16,Siena,-2.29
2015-05-16,Mercer,-2.54
2015-05-16,Holy Cross,-2.62
2015-05-16,Providence,-2.79
2015-05-16,Sacred Heart,-3.08
2015-05-16,Canisius,-3.13
2015-05-16,Lafayette,-3.14
2015-05-16,Jacksonville,-3.25
2015-05-16,Dartmouth,-3.62
2015-05-16,NJIT,-8.75
2015-05-16,Manhattan,-9.6
2015-05-16,VMI,-10.2
2015-05-16,UMass Lowell,-8.0
2015-05-10,UAlbany,7.72
2015-05-10,Denver,5.75
2015-05-10,Syracuse,5.67
2015-05-10,North Carolina,4.88
2015-05-10,Richmond,4.31
2015-05-10,Notre Dame,4.31
2015-05-10,Maryland,3.56
2015-05-10,Brown,3.53
2015-05-10,Yale,3.25
2015-05-10,Army West Point,3.24
2015-05-10,Marist,3.17
2015-05-10,Saint Joseph's,3.06
2015-05-10,Stony Brook,3.0
2015-05-10,Johns Hopkins,2.81
2015-05-10,Duke,2.72
2015-05-10,Fairfield,2.13
2015-05-10,Cornell,1.56
2015-05-10,Hofstra,1.5
2015-05-10,Navy,1.21
2015-05-10,Princeton,1.2
2015-05-10,Colgate,1.19
2015-05-10,Virginia,1.07
2015-05-10,High Point,1.06
2015-05-10,Ohio St.,1.0
2015-05-10,Air Force,0.93
2015-05-10,Loyola Maryland,0.87
2015-05-10,Towson,0.83
2015-05-10,Georgetown,0.75
2015-05-10,Boston U.,0.71
2015-05-10,Bellarmine,0.25
2015-05-10,Lehigh,0.13
2015-05-10,Rutgers,0.07
2015-05-10,Bryant,0.06
2015-05-10,Harvard,0.0
2015-05-10,Binghamton,0.0
2015-05-10,Detroit Mercy,-0.29
2015-05-10,Marquette,-0.31
2015-05-10,Bucknell,-0.33
2015-05-10,Penn St.,-0.93
2015-05-10,Hobart,-0.93
2015-05-10,Massachusetts,-1.0
2015-05-10,Villanova,-1.0
2015-05-10,Monmouth,-1.0
2015-05-10,Wagner,-1.08
2015-05-10,Drexel,-1.13
2015-05-10,Hartford,-1.27
2015-05-10,Mount St. Mary's,-1.53
2015-05-10,UMBC,-1.54
2015-05-10,Delaware,-1.6
2015-05-10,Penn,-1.62
2015-05-10,Michigan,-1.69
2015-05-10,Robert Morris,-1.79
2015-05-10,Quinnipiac,-1.87
2015-05-10,Furman,-2.0
2015-05-10,Vermont,-2.13
2015-05-10,St. John's,-2.14
2015-05-10,Siena,-2.29
2015-05-10,Mercer,-2.54
2015-05-10,Holy Cross,-2.62
2015-05-10,Providence,-2.79
2015-05-10,Sacred Heart,-3.08
2015-05-10,Canisius,-3.13
2015-05-10,Lafayette,-3.14
2015-05-10,Jacksonville,-3.25
2015-05-10,Dartmouth,-3.62
2015-05-10,NJIT,-8.75
2015-05-10,Manhattan,-9.6
2015-05-10,VMI,-10.2
2015-05-10,UMass Lowell,-8.0
2015-05-09,UAlbany,7.72
2015-05-09,Denver,5.73
2015-05-09,Syracuse,5.21
2015-05-09,North Carolina,4.73
2015-05-09,Richmond,4.31
2015-05-09,Notre Dame,4.31
2015-05-09,Brown,4.13
2015-05-09,Marist,4.06
2015-05-09,Maryland,3.56
2015-05-09,Yale,3.25
2015-05-09,Army West Point,3.24
2015-05-09,Saint Joseph's,3.06
2015-05-09,Stony Brook,3.0
2015-05-09,Duke,2.72
2015-05-09,Johns Hopkins,2.2
2015-05-09,Fairfield,2.13
2015-05-09,Virginia,2.0
2015-05-09,Colgate,1.73
2015-05-09,Cornell,1.56
2015-05-09,Hofstra,1.5
2015-05-09,Navy,1.21
2015-05-09,Princeton,1.2
2015-05-09,High Point,1.06
2015-05-09,Ohio St.,1.0
2015-05-09,Air Force,0.93
2015-05-09,Loyola Maryland,0.87
2015-05-09,Towson,0.83
2015-05-09,Georgetown,0.75
2015-05-09,Boston U.,0.71
2015-05-09,Bellarmine,0.25
2015-05-09,Lehigh,0.13
2015-05-09,Rutgers,0.07
2015-05-09,Bryant,0.06
2015-05-09,Harvard,0.0
2015-05-09,Binghamton,0.0
2015-05-09,Detroit Mercy,-0.29
2015-05-09,Marquette,-0.31
2015-05-09,Bucknell,-0.33
2015-05-09,Penn St.,-0.93
2015-05-09,Hobart,-0.93
2015-05-09,Massachusetts,-1.0
2015-05-09,Villanova,-1.0
2015-05-09,Monmouth,-1.0
2015-05-09,Wagner,-1.08
2015-05-09,Drexel,-1.13
2015-05-09,Hartford,-1.27
2015-05-09,Mount St. Mary's,-1.53
2015-05-09,UMBC,-1.54
2015-05-09,Delaware,-1.6
