Date,Team,Shot Percent
2015-05-25,Stony Brook,0.402
2015-05-25,UAlbany,0.366
2015-05-25,Denver,0.357
2015-05-25,Colgate,0.353
2015-05-25,Princeton,0.344
2015-05-25,Syracuse,0.343
2015-05-25,Notre Dame,0.333
2015-05-25,Johns Hopkins,0.331
2015-05-25,Virginia,0.328
2015-05-25,North Carolina,0.325
2015-05-25,Yale,0.324
2015-05-25,Duke,0.322
2015-05-25,Marist,0.32
2015-05-25,Harvard,0.316
2015-05-25,Binghamton,0.308
2015-05-25,Army West Point,0.308
2015-05-25,Holy Cross,0.305
2015-05-25,High Point,0.304
2015-05-25,Richmond,0.303
2015-05-25,Marquette,0.302
2015-05-25,Ohio St.,0.3
2015-05-25,Georgetown,0.299
2015-05-25,Massachusetts,0.296
2015-05-25,Lehigh,0.294
2015-05-25,Brown,0.293
2015-05-25,Bellarmine,0.293
2015-05-25,Vermont,0.293
2015-05-25,Navy,0.29
2015-05-25,Hartford,0.287
2015-05-25,Detroit Mercy,0.286
2015-05-25,Quinnipiac,0.285
2015-05-25,Delaware,0.285
2015-05-25,Penn,0.281
2015-05-25,Fairfield,0.28
2015-05-25,Penn St.,0.279
2015-05-25,Rutgers,0.278
2015-05-25,Bucknell,0.277
2015-05-25,Dartmouth,0.277
2015-05-25,UMBC,0.276
2015-05-25,St. John's,0.274
2015-05-25,Jacksonville,0.274
2015-05-25,Loyola Maryland,0.273
2015-05-25,Air Force,0.271
2015-05-25,Saint Joseph's,0.27
2015-05-25,Bryant,0.269
2015-05-25,Hobart,0.268
2015-05-25,Sacred Heart,0.267
2015-05-25,Michigan,0.267
2015-05-25,Cornell,0.263
2015-05-25,Boston U.,0.263
2015-05-25,Maryland,0.262
2015-05-25,Lafayette,0.262
2015-05-25,Robert Morris,0.262
2015-05-25,Hofstra,0.255
2015-05-25,Providence,0.254
2015-05-25,Siena,0.248
2015-05-25,Towson,0.244
2015-05-25,Villanova,0.243
2015-05-25,Canisius,0.241
2015-05-25,Wagner,0.227
2015-05-25,Mount St. Mary's,0.227
2015-05-25,Drexel,0.225
2015-05-25,Monmouth,0.213
2015-05-25,Furman,0.211
2015-05-25,Mercer,0.205
2015-05-25,VMI,0.185
2015-05-25,Manhattan,0.176
2015-05-25,NJIT,0.172
2015-05-25,UMass Lowell,0.222
2015-05-23,Stony Brook,0.402
2015-05-23,UAlbany,0.366
2015-05-23,Denver,0.36
2015-05-23,Colgate,0.353
2015-05-23,Princeton,0.344
2015-05-23,Syracuse,0.343
2015-05-23,Notre Dame,0.333
2015-05-23,Johns Hopkins,0.331
2015-05-23,Virginia,0.328
2015-05-23,North Carolina,0.325
2015-05-23,Yale,0.324
2015-05-23,Duke,0.322
2015-05-23,Marist,0.32
2015-05-23,Harvard,0.316
2015-05-23,Binghamton,0.308
2015-05-23,Army West Point,0.308
2015-05-23,Holy Cross,0.305
2015-05-23,High Point,0.304
2015-05-23,Richmond,0.303
2015-05-23,Marquette,0.302
2015-05-23,Ohio St.,0.3
2015-05-23,Georgetown,0.299
2015-05-23,Massachusetts,0.296
2015-05-23,Lehigh,0.294
2015-05-23,Brown,0.293
2015-05-23,Bellarmine,0.293
2015-05-23,Vermont,0.293
2015-05-23,Navy,0.29
2015-05-23,Hartford,0.287
2015-05-23,Detroit Mercy,0.286
2015-05-23,Quinnipiac,0.285
2015-05-23,Delaware,0.285
2015-05-23,Penn,0.281
2015-05-23,Fairfield,0.28
2015-05-23,Penn St.,0.279
2015-05-23,Rutgers,0.278
2015-05-23,Bucknell,0.277
2015-05-23,Dartmouth,0.277
2015-05-23,UMBC,0.276
2015-05-23,St. John's,0.274
2015-05-23,Jacksonville,0.274
2015-05-23,Loyola Maryland,0.273
2015-05-23,Air Force,0.271
2015-05-23,Saint Joseph's,0.27
2015-05-23,Bryant,0.269
2015-05-23,Hobart,0.268
2015-05-23,Sacred Heart,0.267
2015-05-23,Michigan,0.267
2015-05-23,Maryland,0.267
2015-05-23,Cornell,0.263
2015-05-23,Boston U.,0.263
2015-05-23,Lafayette,0.262
2015-05-23,Robert Morris,0.262
2015-05-23,Hofstra,0.255
2015-05-23,Providence,0.254
2015-05-23,Siena,0.248
2015-05-23,Towson,0.244
2015-05-23,Villanova,0.243
2015-05-23,Canisius,0.241
2015-05-23,Wagner,0.227
2015-05-23,Mount St. Mary's,0.227
2015-05-23,Drexel,0.225
2015-05-23,Monmouth,0.213
2015-05-23,Furman,0.211
2015-05-23,Mercer,0.205
2015-05-23,VMI,0.185
2015-05-23,Manhattan,0.176
2015-05-23,NJIT,0.172
2015-05-23,UMass Lowell,0.222
2015-05-17,Stony Brook,0.402
2015-05-17,Denver,0.366
2015-05-17,UAlbany,0.366
2015-05-17,Colgate,0.353
2015-05-17,Princeton,0.344
2015-05-17,Syracuse,0.343
2015-05-17,Notre Dame,0.339
2015-05-17,Johns Hopkins,0.332
2015-05-17,Virginia,0.328
2015-05-17,North Carolina,0.325
2015-05-17,Yale,0.324
2015-05-17,Duke,0.322
2015-05-17,Marist,0.32
2015-05-17,Harvard,0.316
2015-05-17,Binghamton,0.308
2015-05-17,Army West Point,0.308
2015-05-17,Holy Cross,0.305
2015-05-17,High Point,0.304
2015-05-17,Richmond,0.303
2015-05-17,Marquette,0.302
2015-05-17,Ohio St.,0.3
2015-05-17,Georgetown,0.299
2015-05-17,Massachusetts,0.296
2015-05-17,Lehigh,0.294
2015-05-17,Brown,0.293
2015-05-17,Bellarmine,0.293
2015-05-17,Vermont,0.293
2015-05-17,Navy,0.29
2015-05-17,Hartford,0.287
2015-05-17,Detroit Mercy,0.286
2015-05-17,Quinnipiac,0.285
2015-05-17,Delaware,0.285
2015-05-17,Penn,0.281
2015-05-17,Fairfield,0.28
2015-05-17,Penn St.,0.279
2015-05-17,Rutgers,0.278
2015-05-17,Bucknell,0.277
2015-05-17,Dartmouth,0.277
2015-05-17,UMBC,0.276
2015-05-17,St. John's,0.274
2015-05-17,Jacksonville,0.274
2015-05-17,Loyola Maryland,0.273
2015-05-17,Air Force,0.271
2015-05-17,Saint Joseph's,0.27
2015-05-17,Bryant,0.269
2015-05-17,Hobart,0.268
2015-05-17,Sacred Heart,0.267
2015-05-17,Michigan,0.267
2015-05-17,Maryland,0.266
2015-05-17,Cornell,0.263
2015-05-17,Boston U.,0.263
2015-05-17,Lafayette,0.262
2015-05-17,Robert Morris,0.262
2015-05-17,Hofstra,0.255
2015-05-17,Providence,0.254
2015-05-17,Siena,0.248
2015-05-17,Towson,0.244
2015-05-17,Villanova,0.243
2015-05-17,Canisius,0.241
2015-05-17,Wagner,0.227
2015-05-17,Mount St. Mary's,0.227
2015-05-17,Drexel,0.225
2015-05-17,Monmouth,0.213
2015-05-17,Furman,0.211
2015-05-17,Mercer,0.205
2015-05-17,VMI,0.185
2015-05-17,Manhattan,0.176
2015-05-17,NJIT,0.172
2015-05-17,UMass Lowell,0.222
2015-05-16,Stony Brook,0.402
2015-05-16,Denver,0.366
2015-05-16,UAlbany,0.366
2015-05-16,Colgate,0.353
2015-05-16,Princeton,0.344
2015-05-16,Syracuse,0.344
2015-05-16,Notre Dame,0.339
2015-05-16,North Carolina,0.334
2015-05-16,Johns Hopkins,0.33
2015-05-16,Virginia,0.328
2015-05-16,Yale,0.324
2015-05-16,Duke,0.322
2015-05-16,Marist,0.32
2015-05-16,Harvard,0.316
2015-05-16,Binghamton,0.308
2015-05-16,Army West Point,0.308
2015-05-16,Holy Cross,0.305
2015-05-16,High Point,0.304
2015-05-16,Richmond,0.303
2015-05-16,Marquette,0.302
2015-05-16,Ohio St.,0.3
2015-05-16,Georgetown,0.299
2015-05-16,Massachusetts,0.296
2015-05-16,Lehigh,0.294
2015-05-16,Brown,0.293
2015-05-16,Bellarmine,0.293
2015-05-16,Vermont,0.293
2015-05-16,Navy,0.29
2015-05-16,Hartford,0.287
2015-05-16,Detroit Mercy,0.286
2015-05-16,Quinnipiac,0.285
2015-05-16,Delaware,0.285
2015-05-16,Penn,0.281
2015-05-16,Fairfield,0.28
2015-05-16,Penn St.,0.279
2015-05-16,Rutgers,0.278
2015-05-16,Bucknell,0.277
2015-05-16,Dartmouth,0.277
2015-05-16,UMBC,0.276
2015-05-16,St. John's,0.274
2015-05-16,Jacksonville,0.274
2015-05-16,Loyola Maryland,0.273
2015-05-16,Air Force,0.271
2015-05-16,Saint Joseph's,0.27
2015-05-16,Bryant,0.269
2015-05-16,Hobart,0.268
2015-05-16,Sacred Heart,0.267
2015-05-16,Michigan,0.267
2015-05-16,Maryland,0.263
2015-05-16,Cornell,0.263
2015-05-16,Boston U.,0.263
2015-05-16,Lafayette,0.262
2015-05-16,Robert Morris,0.262
2015-05-16,Hofstra,0.255
2015-05-16,Providence,0.254
2015-05-16,Siena,0.248
2015-05-16,Towson,0.244
2015-05-16,Villanova,0.243
2015-05-16,Canisius,0.241
2015-05-16,Wagner,0.227
2015-05-16,Mount St. Mary's,0.227
2015-05-16,Drexel,0.225
2015-05-16,Monmouth,0.213
2015-05-16,Furman,0.211
2015-05-16,Mercer,0.205
2015-05-16,VMI,0.185
2015-05-16,Manhattan,0.176
2015-05-16,NJIT,0.172
2015-05-16,UMass Lowell,0.222
2015-05-10,Stony Brook,0.402
2015-05-10,UAlbany,0.369
2015-05-10,Denver,0.36
2015-05-10,Colgate,0.353
2015-05-10,Princeton,0.344
2015-05-10,Syracuse,0.344
2015-05-10,Notre Dame,0.344
2015-05-10,North Carolina,0.334
2015-05-10,Johns Hopkins,0.33
2015-05-10,Virginia,0.328
2015-05-10,Yale,0.324
2015-05-10,Duke,0.322
2015-05-10,Marist,0.32
2015-05-10,Harvard,0.316
2015-05-10,Binghamton,0.308
2015-05-10,Army West Point,0.308
2015-05-10,Holy Cross,0.305
2015-05-10,High Point,0.304
2015-05-10,Richmond,0.303
2015-05-10,Marquette,0.302
2015-05-10,Ohio St.,0.299
2015-05-10,Georgetown,0.299
2015-05-10,Massachusetts,0.296
2015-05-10,Lehigh,0.294
2015-05-10,Brown,0.293
2015-05-10,Bellarmine,0.293
2015-05-10,Vermont,0.293
2015-05-10,Navy,0.29
2015-05-10,Hartford,0.287
2015-05-10,Detroit Mercy,0.286
2015-05-10,Quinnipiac,0.285
2015-05-10,Delaware,0.285
2015-05-10,Penn,0.281
2015-05-10,Fairfield,0.28
2015-05-10,Penn St.,0.279
2015-05-10,Rutgers,0.278
2015-05-10,Bucknell,0.277
2015-05-10,Dartmouth,0.277
2015-05-10,UMBC,0.276
2015-05-10,St. John's,0.274
2015-05-10,Jacksonville,0.274
2015-05-10,Loyola Maryland,0.273
2015-05-10,Air Force,0.271
2015-05-10,Saint Joseph's,0.27
2015-05-10,Bryant,0.269
2015-05-10,Hobart,0.268
2015-05-10,Sacred Heart,0.267
2015-05-10,Michigan,0.267
2015-05-10,Maryland,0.263
2015-05-10,Cornell,0.263
2015-05-10,Boston U.,0.263
2015-05-10,Lafayette,0.262
2015-05-10,Robert Morris,0.262
2015-05-10,Hofstra,0.255
2015-05-10,Providence,0.254
2015-05-10,Siena,0.248
2015-05-10,Towson,0.244
2015-05-10,Villanova,0.243
2015-05-10,Canisius,0.241
2015-05-10,Wagner,0.227
2015-05-10,Mount St. Mary's,0.227
2015-05-10,Drexel,0.225
2015-05-10,Monmouth,0.213
2015-05-10,Furman,0.211
2015-05-10,Mercer,0.205
2015-05-10,VMI,0.185
2015-05-10,Manhattan,0.176
2015-05-10,NJIT,0.172
2015-05-10,UMass Lowell,0.222
2015-05-09,Stony Brook,0.402
2015-05-09,UAlbany,0.368
2015-05-09,Denver,0.358
2015-05-09,Colgate,0.355
2015-05-09,Princeton,0.344
2015-05-09,Notre Dame,0.344
2015-05-09,Virginia,0.34
2015-05-09,Syracuse,0.338
2015-05-09,North Carolina,0.332
2015-05-09,Yale,0.324
2015-05-09,Duke,0.322
2015-05-09,Marist,0.322
2015-05-09,Johns Hopkins,0.321
2015-05-09,Harvard,0.316
2015-05-09,Binghamton,0.308
2015-05-09,Army West Point,0.308
2015-05-09,Holy Cross,0.305
2015-05-09,High Point,0.304
2015-05-09,Richmond,0.303
2015-05-09,Marquette,0.302
2015-05-09,Brown,0.3
2015-05-09,Ohio St.,0.299
2015-05-09,Georgetown,0.299
2015-05-09,Massachusetts,0.296
2015-05-09,Lehigh,0.294
2015-05-09,Bellarmine,0.293
2015-05-09,Vermont,0.293
2015-05-09,Navy,0.29
2015-05-09,Hartford,0.287
2015-05-09,Detroit Mercy,0.286
2015-05-09,Quinnipiac,0.285
2015-05-09,Delaware,0.285
2015-05-09,Penn,0.281
2015-05-09,Fairfield,0.28
2015-05-09,Penn St.,0.279
2015-05-09,Rutgers,0.278
2015-05-09,Bucknell,0.277
2015-05-09,Dartmouth,0.277
2015-05-09,UMBC,0.276
2015-05-09,St. John's,0.274
2015-05-09,Jacksonville,0.274
2015-05-09,Loyola Maryland,0.273
2015-05-09,Air Force,0.271
2015-05-09,Saint Joseph's,0.27
2015-05-09,Bryant,0.269
2015-05-09,Hobart,0.268
2015-05-09,Sacred Heart,0.267
2015-05-09,Michigan,0.267
2015-05-09,Cornell,0.264
2015-05-09,Maryland,0.263
2015-05-09,Boston U.,0.263
2015-05-09,Lafayette,0.262
2015-05-09,Robert Morris,0.262
2015-05-09,Hofstra,0.255
2015-05-09,Providence,0.254
2015-05-09,Siena,0.248
2015-05-09,Towson,0.244
2015-05-09,Villanova,0.243
2015-05-09,Canisius,0.241
2015-05-09,Wagner,0.227
2015-05-09,Mount St. Mary's,0.227
2015-05-09,Drexel,0.225
2015-05-09,Monmouth,0.213
2015-05-09,Furman,0.211
2015-05-09,Mercer,0.205
2015-05-09,VMI,0.185
2015-05-09,Manhattan,0.176
2015-05-09,NJIT,0.172
2015-05-09,UMass Lowell,0.222
2015-05-06,Stony Brook,0.402
2015-05-06,UAlbany,0.369
2015-05-06,Denver,0.358
2015-05-06,Colgate,0.355
2015-05-06,Notre Dame,0.353
2015-05-06,Princeton,0.344
2015-05-06,Virginia,0.34
2015-05-06,Syracuse,0.338
2015-05-06,North Carolina,0.332
2015-05-06,Yale,0.33
2015-05-06,Duke,0.323
2015-05-06,Marist,0.322
2015-05-06,Johns Hopkins,0.321
2015-05-06,Harvard,0.316
2015-05-06,Binghamton,0.308
2015-05-06,Army West Point,0.308
2015-05-06,Holy Cross,0.305
2015-05-06,High Point,0.304
2015-05-06,Richmond,0.303
2015-05-06,Marquette,0.302
2015-05-06,Brown,0.3
2015-05-06,Georgetown,0.299
2015-05-06,Massachusetts,0.296
2015-05-06,Lehigh,0.294
2015-05-06,Bellarmine,0.293
2015-05-06,Vermont,0.293
2015-05-06,Navy,0.29
2015-05-06,Ohio St.,0.289
2015-05-06,Hartford,0.287
2015-05-06,Detroit Mercy,0.286
2015-05-06,Quinnipiac,0.285
2015-05-06,Delaware,0.285
2015-05-06,Penn,0.281
2015-05-06,Fairfield,0.28
2015-05-06,Penn St.,0.279
2015-05-06,Rutgers,0.278
2015-05-06,Bucknell,0.277
2015-05-06,Dartmouth,0.277
2015-05-06,UMBC,0.276
2015-05-06,St. John's,0.274
2015-05-06,Jacksonville,0.274
2015-05-06,Loyola Maryland,0.273
2015-05-06,Air Force,0.271
2015-05-06,Saint Joseph's,0.27
2015-05-06,Bryant,0.269
2015-05-06,Hobart,0.268
2015-05-06,Sacred Heart,0.267
2015-05-06,Michigan,0.267
2015-05-06,Cornell,0.266
2015-05-06,Maryland,0.265
2015-05-06,Boston U.,0.263
2015-05-06,Lafayette,0.262
2015-05-06,Robert Morris,0.262
2015-05-06,Hofstra,0.255
2015-05-06,Providence,0.254
2015-05-06,Siena,0.248
2015-05-06,Villanova,0.243
2015-05-06,Canisius,0.241
2015-05-06,Towson,0.241
2015-05-06,Wagner,0.227
2015-05-06,Mount St. Mary's,0.227
2015-05-06,Drexel,0.225
2015-05-06,Monmouth,0.213
2015-05-06,Furman,0.211
2015-05-06,Mercer,0.205
2015-05-06,VMI,0.185
2015-05-06,Manhattan,0.176
2015-05-06,NJIT,0.172
2015-05-06,UMass Lowell,0.222
