Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game,Team 1 RPI,Team 2 RPI,Team 1 Save Percent,Team 2 Save Percent,Team 1 Games Played,Team 2 Games Played,Team 1 Assists per Game Total,Team 1 Caused Turnovers per Game Total,Team 1 Clearing Percent Total,Team 1 Faceoff Percent Total,Team 1 Groundballs per Game Total,Team 1 Man Down Defense Percent Total,Team 1 Man Up Offense Percent Total,Team 1 Opponent Clear Percent Total,Team 1 Goals per Game Total,Team 1 Goals Allowed per Game Total,Team 1 Average Margin Total,Team 1 Shot Percent Total,Team 1 Turnovers per Game Total,Team 1 Save Percent Total,Team 1 RPI Total,Team 2 Assists per Game Total,Team 2 Caused Turnovers per Game Total,Team 2 Clearing Percent Total,Team 2 Faceoff Percent Total,Team 2 Groundballs per Game Total,Team 2 Man Down Defense Percent Total,Team 2 Man Up Offense Percent Total,Team 2 Opponent Clear Percent Total,Team 2 Goals per Game Total,Team 2 Goals Allowed per Game Total,Team 2 Average Margin Total,Team 2 Shot Percent Total,Team 2 Turnovers per Game Total,Team 2 Save Percent Total,Team 2 RPI Total,Team 1 Assists per Game RollingAvg_3,Team 1 Caused Turnovers per Game RollingAvg_3,Team 1 Clearing Percent RollingAvg_3,Team 1 Faceoff Percent RollingAvg_3,Team 1 Groundballs per Game RollingAvg_3,Team 1 Man Down Defense Percent RollingAvg_3,Team 1 Man Up Offense Percent RollingAvg_3,Team 1 Opponent Clear Percent RollingAvg_3,Team 1 Goals per Game RollingAvg_3,Team 1 Goals Allowed per Game RollingAvg_3,Team 1 Average Margin RollingAvg_3,Team 1 Shot Percent RollingAvg_3,Team 1 Turnovers per Game RollingAvg_3,Team 1 Save Percent RollingAvg_3,Team 1 RPI RollingAvg_3,Team 2 Assists per Game RollingAvg_3,Team 2 Caused Turnovers per Game RollingAvg_3,Team 2 Clearing Percent RollingAvg_3,Team 2 Faceoff Percent RollingAvg_3,Team 2 Groundballs per Game RollingAvg_3,Team 2 Man Down Defense Percent RollingAvg_3,Team 2 Man Up Offense Percent RollingAvg_3,Team 2 Opponent Clear Percent RollingAvg_3,Team 2 Goals per Game RollingAvg_3,Team 2 Goals Allowed per Game RollingAvg_3,Team 2 Average Margin RollingAvg_3,Team 2 Shot Percent RollingAvg_3,Team 2 Turnovers per Game RollingAvg_3,Team 2 Save Percent RollingAvg_3,Team 2 RPI RollingAvg_3
2017-02-04,2017,bucknell,14.0,delaware,13.0,bucknell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,boston u.,8.0,providence,7.0,boston u.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,umbc,6.0,north carolina,17.0,north carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,michigan,13.0,cleveland st.,8.0,michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,njit,5.0,lehigh,15.0,lehigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,robert morris,11.0,penn st.,15.0,penn st.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,bryant,17.0,manhattan,10.0,bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,vermont,13.0,mercer,12.0,vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,2017,high point,5.0,duke,10.0,duke,,5.0,,3.0,,0.813,,0.708,,28.0,,0.5,,0.333,,,,10.0,,9.0,,11.0,,-1.0,,0.27,,8.0,,,,0.45,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,virginia,16.0,loyola maryland,15.0,virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
