Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game
2017-02-04,2017,bucknell,14.0,delaware,13.0,bucknell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,boston u.,8.0,providence,7.0,boston u.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,umbc,6.0,north carolina,17.0,north carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,michigan,13.0,cleveland st.,8.0,michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,njit,5.0,lehigh,15.0,lehigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,robert morris,11.0,penn st.,15.0,penn st.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,bryant,17.0,manhattan,10.0,bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-04,2017,vermont,13.0,mercer,12.0,vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,2017,high point,5.0,duke,10.0,duke,,5.0,,3.0,,0.813,,0.708,,28.0,,0.5,,0.333,,,,10.0,,9.0,,11.0,,-1.0,,0.27,,8.0
2017-02-11,2017,lafayette,6.0,michigan,17.0,michigan,,8.0,,4.0,,1.0,,0.6,,28.0,,0.8,,,,,,13.0,,15.0,,8.0,,5.0,,0.361,,11.0
2017-02-11,2017,siena,6.0,syracuse,19.0,syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,rutgers,16.0,st. john's,8.0,rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,penn st.,21.0,hobart,15.0,penn st.,11.0,,8.0,,0.933,,0.7,,32.0,,,,0.333,,,,15.0,,11.0,,11.0,,4.0,,0.385,,11.0,
2017-02-11,2017,fairfield,3.0,richmond,15.0,richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,delaware,18.0,mount st. mary's,5.0,delaware,6.0,,2.0,,0.8,,0.414,,26.0,,0.4,,0.333,,,,13.0,,13.0,,14.0,,-1.0,,0.371,,9.0,
2017-02-11,2017,bryant,8.0,bucknell,9.0,bucknell,11.0,9.0,8.0,5.0,0.882,0.917,0.419,0.586,25.0,31.0,0.75,0.667,0.75,0.6,,,17.0,14.0,10.0,9.0,10.0,13.0,7.0,1.0,0.362,0.259,12.0,6.0
2017-02-11,2017,wagner,13.0,manhattan,14.0,manhattan,,6.0,,1.0,,0.833,,0.581,,29.0,,0.25,,0.25,,,,10.0,,16.0,,17.0,,-7.0,,0.294,,18.0
2017-02-11,2017,marist,12.0,colgate,8.0,marist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,monmouth,12.0,villanova,10.0,monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,detroit mercy,8.0,ohio st.,14.0,ohio st.,,3.0,,3.0,,0.9,,0.591,,27.0,,1.0,,,,,,12.0,,11.0,,6.0,,6.0,,0.316,,9.0
2017-02-11,2017,maryland,15.0,navy,12.0,maryland,,5.0,,7.0,,0.706,,0.538,,30.0,,,,0.667,,,,8.0,,12.0,,15.0,,-7.0,,0.286,,21.0
2017-02-11,2017,virginia,16.0,loyola maryland,15.0,virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,north carolina,7.0,furman,3.0,north carolina,7.0,4.5,8.0,7.5,0.938,0.821,0.704,0.5,37.0,24.0,0.5,0.6,,0.333,,,17.0,9.0,5.0,6.0,6.0,12.5,11.0,-3.5,0.415,0.257,15.0,12.0
2017-02-11,2017,umbc,5.0,johns hopkins,15.0,johns hopkins,4.0,9.0,10.0,12.0,0.652,0.9,0.296,0.462,27.0,32.0,,0.333,0.5,1.0,,,6.0,15.0,11.0,8.0,17.0,8.0,-11.0,7.0,0.25,0.405,19.0,13.0
2017-02-11,2017,air force,6.0,denver,14.0,denver,5.0,,1.0,,0.769,,0.292,,12.0,,0.667,,0.5,,,,11.0,,14.0,,10.0,,1.0,,0.324,,8.0,
2017-02-11,2017,bellarmine,8.0,robert morris,10.0,robert morris,,8.0,,6.0,,0.895,,0.3,,18.0,,0.667,,1.0,,,,11.0,,15.0,,15.0,,-4.0,,0.379,,15.0
2017-02-11,2017,providence,10.0,holy cross,4.0,providence,6.0,,6.0,,0.947,,0.556,,27.0,,0.571,,0.667,,,,7.0,,12.0,,8.0,,-1.0,,0.167,,14.0,
2017-02-11,2017,lehigh,13.0,jacksonville,12.0,lehigh,6.0,,6.0,,0.857,,0.875,,41.0,,1.0,,,,,,15.0,,8.0,,5.0,,10.0,,0.349,,11.0,
2017-02-11,2017,boston u.,18.0,umass lowell,8.0,boston u.,7.0,,3.0,,0.731,,0.444,,19.0,,0.333,,0.429,,,,8.0,,17.0,,7.0,,1.0,,0.2,,17.0,
2017-02-11,2017,army west point,9.0,massachusetts,2.0,army,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-14,2017,georgetown,3.0,high point,9.0,high point,,3.0,,4.0,,0.923,,0.263,,16.0,,0.5,,0.5,,,,5.0,,11.0,,10.0,,-5.0,,0.192,,11.0
2017-02-14,2017,maryland,16.0,saint joseph's,8.0,maryland,9.0,,6.0,,1.0,,0.3,,31.0,,,,,,,,15.0,,12.0,,12.0,,3.0,,0.417,,11.0,
2017-02-14,2017,stony brook,12.0,sacred heart,11.0,stony brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,2017,lafayette,8.0,wagner,9.0,wagner,5.0,7.0,2.0,10.0,0.8,0.87,0.423,0.344,24.0,43.0,,0.8,0.5,,,,6.0,13.0,16.0,13.0,17.0,14.0,-11.0,-1.0,0.143,0.228,11.0,13.0
2017-02-17,2017,colgate,8.0,binghamton,11.0,binghamton,5.0,,6.0,,0.889,,0.48,,26.0,,,,0.5,,,,8.0,,7.0,,12.0,,-4.0,,0.2,,15.0,
2017-02-18,2017,loyola maryland,13.0,johns hopkins,14.0,johns hopkins,11.0,8.0,10.0,8.0,1.0,0.889,0.543,0.46,48.0,26.5,0.667,0.6,0.333,1.0,,,15.0,15.0,5.0,6.0,16.0,6.5,-1.0,8.5,0.349,0.38,19.0,9.5
2017-02-18,2017,ualbany,9.0,syracuse,10.0,syracuse,,15.0,,7.0,,1.0,,0.69,,50.0,,0.667,,0.667,,,,19.0,,10.0,,6.0,,13.0,,0.352,,8.0
2017-02-18,2017,fairfield,13.0,bucknell,12.0,fairfield,2.0,8.5,6.0,8.0,0.929,0.833,0.286,0.625,24.0,33.5,,0.667,0.167,0.444,,,3.0,11.5,14.0,10.0,15.0,10.5,-12.0,1.0,0.103,0.258,9.0,11.5
2017-02-18,2017,drexel,14.0,virginia,18.0,virginia,,11.0,,10.0,,0.8,,0.457,,45.0,,0.667,,0.333,,,,16.0,,11.0,,15.0,,1.0,,0.4,,20.0
2017-02-18,2017,towson,13.0,mount st. mary's,5.0,towson,,2.0,,6.0,,0.85,,0.308,,24.0,,0.25,,,,,,5.0,,9.0,,18.0,,-13.0,,0.172,,16.0
2017-02-18,2017,massachusetts,7.0,ohio st.,8.0,ohio st.,1.0,5.0,8.0,5.0,0.944,0.846,0.333,0.489,16.0,29.0,0.667,0.667,,0.6,,,2.0,13.0,12.0,8.5,9.0,7.0,-7.0,6.0,0.105,0.361,14.0,9.5
2017-02-18,2017,robert morris,18.0,manhattan,8.0,robert morris,7.5,7.5,7.0,4.5,0.865,0.824,0.404,0.619,25.5,35.5,0.6,0.727,0.4,0.222,,,10.5,12.0,14.0,16.0,11.5,15.0,-1.0,-3.0,0.318,0.316,13.5,23.0
2017-02-18,2017,marist,10.0,air force,4.0,marist,9.0,5.0,6.0,3.0,0.8,0.875,0.52,0.283,25.0,15.0,0.5,0.714,1.0,0.714,,,12.0,8.5,13.0,11.5,8.0,12.0,4.0,-3.5,0.353,0.283,15.0,7.5
2017-02-18,2017,siena,15.0,hobart,16.0,hobart,2.0,2.0,3.0,3.0,0.7,0.824,0.31,0.289,20.0,20.0,0.333,0.5,0.333,,,,6.0,15.0,16.0,10.0,19.0,21.0,-13.0,-6.0,0.231,0.441,15.0,8.0
