Rank,Team,Games,W-L,FOs Won,FOs Lost,TM FOT,Pct.,Date,Academic Year
1,Bryant (NEC),18,8-10,242,119,361,0.670,05/25/2015-Final Statistics,2015.0
2,Denver (Big East),19,17-2,320,161,481,0.665,05/25/2015-Final Statistics,2015.0
3,Syracuse (ACC),16,13-3,292,149,441,0.662,05/25/2015-Final Statistics,2015.0
4,Cornell (Ivy League),16,10-6,260,136,396,0.657,05/25/2015-Final Statistics,2015.0
5,Rutgers (Big Ten),15,5-10,235,128,363,0.647,05/25/2015-Final Statistics,2015.0
6,Boston U. (Patriot),14,6-8,216,123,339,0.637,05/25/2015-Final Statistics,2015.0
7,Hofstra (CAA),14,5-9,177,115,292,0.606,05/25/2015-Final Statistics,2015.0
8,Navy (Patriot),14,9-5,183,122,305,0.600,05/25/2015-Final Statistics,2015.0
9,Brown (Ivy League),17,12-5,277,195,472,0.587,05/25/2015-Final Statistics,2015.0
10,Ohio St. (Big Ten),19,12-7,248,184,432,0.574,05/25/2015-Final Statistics,2015.0
11,Army West Point (Patriot),17,10-7,220,166,386,0.570,05/25/2015-Final Statistics,2015.0
12,Fairfield (CAA),15,9-6,173,135,308,0.562,05/25/2015-Final Statistics,2015.0
13,Duke (ACC),18,12-6,296,231,527,0.562,05/25/2015-Final Statistics,2015.0
14,Dartmouth (Ivy League),13,5-8,178,142,320,0.556,05/25/2015-Final Statistics,2015.0
15,Loyola Maryland (Patriot),15,7-8,206,167,373,0.552,05/25/2015-Final Statistics,2015.0
16,High Point (SoCon),17,10-7,222,182,404,0.550,05/25/2015-Final Statistics,2015.0
17,Drexel (CAA),15,7-8,177,151,328,0.540,05/25/2015-Final Statistics,2015.0
18,Hartford (America East),15,7-8,196,171,367,0.534,05/25/2015-Final Statistics,2015.0
19,Stony Brook (America East),18,13-5,267,236,503,0.531,05/25/2015-Final Statistics,2015.0
20,Binghamton (America East),13,4-9,169,150,319,0.530,05/25/2015-Final Statistics,2015.0
21,Marist (MAAC),18,14-4,224,200,424,0.528,05/25/2015-Final Statistics,2015.0
22,Jacksonville (SoCon),12,4-8,154,140,294,0.524,05/25/2015-Final Statistics,2015.0
23,Yale (Ivy League),16,11-5,190,173,363,0.523,05/25/2015-Final Statistics,2015.0
