Rank,Team,Games,W-L,EMO GA,OPP ATT,Pct.,Date,Academic Year
1,Saint Joseph's (NEC),17,11-6,12,60,0.800,05/25/2015-Final Statistics,2015.0
2,Richmond (SoCon),16,11-5,12,57,0.789,05/25/2015-Final Statistics,2015.0
3,Providence (Big East),14,5-9,14,60,0.767,05/25/2015-Final Statistics,2015.0
4,Furman (SoCon),13,4-9,10,41,0.756,05/25/2015-Final Statistics,2015.0
5,Bellarmine (SoCon),12,4-8,13,50,0.740,05/25/2015-Final Statistics,2015.0
6,Towson (CAA),18,12-6,13,48,0.729,05/25/2015-Final Statistics,2015.0
7,High Point (SoCon),17,10-7,15,55,0.727,05/25/2015-Final Statistics,2015.0
8,Monmouth (MAAC),14,6-8,13,46,0.717,05/25/2015-Final Statistics,2015.0
9,Yale (Ivy League),16,11-5,15,52,0.712,05/25/2015-Final Statistics,2015.0
10,Colgate (Patriot),16,10-6,13,45,0.711,05/25/2015-Final Statistics,2015.0
11,Marist (MAAC),18,14-4,22,76,0.711,05/25/2015-Final Statistics,2015.0
12,Hobart (NEC),14,7-7,10,34,0.706,05/25/2015-Final Statistics,2015.0
13,Maryland (Big Ten),19,15-4,14,47,0.702,05/25/2015-Final Statistics,2015.0
14,Dartmouth (Ivy League),13,5-8,14,46,0.696,05/25/2015-Final Statistics,2015.0
15,Lafayette (Patriot),14,4-10,14,45,0.689,05/25/2015-Final Statistics,2015.0
16,Syracuse (ACC),16,13-3,15,48,0.688,05/25/2015-Final Statistics,2015.0
17,Manhattan (MAAC),15,1-14,21,67,0.687,05/25/2015-Final Statistics,2015.0
18,Brown (Ivy League),17,12-5,19,60,0.683,05/25/2015-Final Statistics,2015.0
19,Boston U. (Patriot),14,6-8,14,44,0.682,05/25/2015-Final Statistics,2015.0
20,Michigan (Big Ten),13,5-8,13,40,0.675,05/25/2015-Final Statistics,2015.0
21,Penn St. (Big Ten),14,5-9,15,46,0.674,05/25/2015-Final Statistics,2015.0
22,Drexel (CAA),15,7-8,19,58,0.672,05/25/2015-Final Statistics,2015.0
23,Quinnipiac (MAAC),15,7-8,20,60,0.667,05/25/2015-Final Statistics,2015.0
24,Cornell (Ivy League),16,10-6,21,61,0.656,05/25/2015-Final Statistics,2015.0
25,Siena (MAAC),14,5-9,20,58,0.655,05/25/2015-Final Statistics,2015.0
26,Delaware (CAA),15,5-10,17,49,0.653,05/25/2015-Final Statistics,2015.0
27,North Carolina (ACC),17,13-4,24,69,0.652,05/25/2015-Final Statistics,2015.0
27,Penn (Ivy League),13,6-7,16,46,0.652,05/25/2015-Final Statistics,2015.0
29,Mount St. Mary's (NEC),15,5-10,18,51,0.647,05/25/2015-Final Statistics,2015.0
30,Lehigh (Patriot),16,7-9,22,62,0.645,05/25/2015-Final Statistics,2015.0
31,Fairfield (CAA),15,9-6,9,25,0.640,05/25/2015-Final Statistics,2015.0
32,Wagner (NEC),13,4-9,13,36,0.639,05/25/2015-Final Statistics,2015.0
33,Massachusetts (CAA),15,5-10,20,55,0.636,05/25/2015-Final Statistics,2015.0
33,Mercer (SoCon),13,5-8,16,44,0.636,05/25/2015-Final Statistics,2015.0
35,Marquette (Big East),16,10-6,18,49,0.633,05/25/2015-Final Statistics,2015.0
36,Harvard (Ivy League),14,7-7,23,62,0.629,05/25/2015-Final Statistics,2015.0
37,Vermont (America East),16,6-10,26,70,0.629,05/25/2015-Final Statistics,2015.0
38,NJIT (Independent),12,0-12,19,51,0.627,05/25/2015-Final Statistics,2015.0
39,Villanova (Big East),14,6-8,18,48,0.625,05/25/2015-Final Statistics,2015.0
40,Holy Cross (Patriot),13,6-7,17,45,0.622,05/25/2015-Final Statistics,2015.0
40,UMBC (America East),13,5-8,17,45,0.622,05/25/2015-Final Statistics,2015.0
42,Johns Hopkins (Big Ten),18,11-7,19,50,0.620,05/25/2015-Final Statistics,2015.0
42,Virginia (ACC),15,10-5,19,50,0.620,05/25/2015-Final Statistics,2015.0
44,Army West Point (Patriot),17,10-7,15,39,0.615,05/25/2015-Final Statistics,2015.0
45,Jacksonville (SoCon),12,4-8,12,31,0.613,05/25/2015-Final Statistics,2015.0
45,Ohio St. (Big Ten),19,12-7,12,31,0.613,05/25/2015-Final Statistics,2015.0
47,UAlbany (America East),19,16-3,26,67,0.612,05/25/2015-Final Statistics,2015.0
48,Robert Morris (NEC),14,3-11,12,30,0.600,05/25/2015-Final Statistics,2015.0
49,Stony Brook (America East),18,13-5,22,54,0.593,05/25/2015-Final Statistics,2015.0
50,Detroit Mercy (MAAC),14,8-6,20,49,0.592,05/25/2015-Final Statistics,2015.0
51,Air Force (ECAC),15,8-7,18,44,0.591,05/25/2015-Final Statistics,2015.0
52,Rutgers (Big Ten),15,5-10,17,41,0.585,05/25/2015-Final Statistics,2015.0
