Rank,Team,Games,W-L,EMO Goals,Attempts,Pct.,Date,Academic Year
1,Denver (Big East),19,17-2,38,63,0.603,05/25/2015-Final Statistics,2015.0
2,Colgate (Patriot),16,10-6,28,50,0.560,05/25/2015-Final Statistics,2015.0
2,Marist (MAAC),18,14-4,28,50,0.560,05/25/2015-Final Statistics,2015.0
4,Notre Dame (ACC),15,12-3,22,42,0.524,05/25/2015-Final Statistics,2015.0
5,Syracuse (ACC),16,13-3,31,61,0.508,05/25/2015-Final Statistics,2015.0
6,Brown (Ivy League),17,12-5,22,45,0.489,05/25/2015-Final Statistics,2015.0
7,Stony Brook (America East),18,13-5,33,68,0.485,05/25/2015-Final Statistics,2015.0
8,Lehigh (Patriot),16,7-9,30,62,0.484,05/25/2015-Final Statistics,2015.0
9,UAlbany (America East),19,16-3,42,90,0.467,05/25/2015-Final Statistics,2015.0
10,Princeton (Ivy League),15,9-6,26,56,0.464,05/25/2015-Final Statistics,2015.0
11,Johns Hopkins (Big Ten),18,11-7,38,82,0.463,05/25/2015-Final Statistics,2015.0
12,Saint Joseph's (NEC),17,11-6,22,48,0.458,05/25/2015-Final Statistics,2015.0
13,Detroit Mercy (MAAC),14,8-6,23,51,0.451,05/25/2015-Final Statistics,2015.0
14,Georgetown (Big East),16,10-6,23,52,0.442,05/25/2015-Final Statistics,2015.0
15,Yale (Ivy League),16,11-5,17,39,0.436,05/25/2015-Final Statistics,2015.0
16,Vermont (America East),16,6-10,27,62,0.435,05/25/2015-Final Statistics,2015.0
17,North Carolina (ACC),17,13-4,24,57,0.421,05/25/2015-Final Statistics,2015.0
17,High Point (SoCon),17,10-7,24,57,0.421,05/25/2015-Final Statistics,2015.0
19,Maryland (Big Ten),19,15-4,18,43,0.419,05/25/2015-Final Statistics,2015.0
20,Army West Point (Patriot),17,10-7,19,46,0.413,05/25/2015-Final Statistics,2015.0
21,Penn (Ivy League),13,6-7,20,50,0.400,05/25/2015-Final Statistics,2015.0
22,Quinnipiac (MAAC),15,7-8,21,53,0.396,05/25/2015-Final Statistics,2015.0
23,Hobart (NEC),14,7-7,13,33,0.394,05/25/2015-Final Statistics,2015.0
24,Marquette (Big East),16,10-6,15,39,0.385,05/25/2015-Final Statistics,2015.0
25,Cornell (Ivy League),16,10-6,21,55,0.382,05/25/2015-Final Statistics,2015.0
26,Duke (ACC),18,12-6,21,56,0.375,05/25/2015-Final Statistics,2015.0
26,Boston U. (Patriot),14,6-8,18,48,0.375,05/25/2015-Final Statistics,2015.0
26,Michigan (Big Ten),13,5-8,12,32,0.375,05/25/2015-Final Statistics,2015.0
29,Massachusetts (CAA),15,5-10,20,54,0.370,05/25/2015-Final Statistics,2015.0
30,Hofstra (CAA),14,5-9,24,65,0.369,05/25/2015-Final Statistics,2015.0
31,UMBC (America East),13,5-8,14,38,0.368,05/25/2015-Final Statistics,2015.0
32,Towson (CAA),18,12-6,18,49,0.367,05/25/2015-Final Statistics,2015.0
33,Holy Cross (Patriot),13,6-7,11,30,0.367,05/25/2015-Final Statistics,2015.0
34,Robert Morris (NEC),14,3-11,15,41,0.366,05/25/2015-Final Statistics,2015.0
35,Harvard (Ivy League),14,7-7,19,52,0.365,05/25/2015-Final Statistics,2015.0
36,Drexel (CAA),15,7-8,16,44,0.364,05/25/2015-Final Statistics,2015.0
37,Siena (MAAC),14,5-9,17,47,0.362,05/25/2015-Final Statistics,2015.0
38,Wagner (NEC),13,4-9,16,46,0.348,05/25/2015-Final Statistics,2015.0
39,Lafayette (Patriot),14,4-10,18,52,0.346,05/25/2015-Final Statistics,2015.0
40,Binghamton (America East),13,4-9,11,32,0.344,05/25/2015-Final Statistics,2015.0
41,St. John's (NY) (Big East),14,3-11,16,47,0.340,05/25/2015-Final Statistics,2015.0
42,Canisius (MAAC),15,3-12,17,50,0.340,05/25/2015-Final Statistics,2015.0
43,Bucknell (Patriot),15,9-6,12,36,0.333,05/25/2015-Final Statistics,2015.0
44,Dartmouth (Ivy League),13,5-8,13,40,0.325,05/25/2015-Final Statistics,2015.0
45,Loyola Maryland (Patriot),15,7-8,12,37,0.324,05/25/2015-Final Statistics,2015.0
46,Jacksonville (SoCon),12,4-8,17,54,0.315,05/25/2015-Final Statistics,2015.0
47,Penn St. (Big Ten),14,5-9,15,49,0.306,05/25/2015-Final Statistics,2015.0
48,Navy (Patriot),14,9-5,13,43,0.302,05/25/2015-Final Statistics,2015.0
49,Fairfield (CAA),15,9-6,16,53,0.302,05/25/2015-Final Statistics,2015.0
49,Delaware (CAA),15,5-10,16,53,0.302,05/25/2015-Final Statistics,2015.0
51,Rutgers (Big Ten),15,5-10,12,40,0.300,05/25/2015-Final Statistics,2015.0
52,Mercer (SoCon),13,5-8,14,47,0.298,05/25/2015-Final Statistics,2015.0
53,Villanova (Big East),14,6-8,14,48,0.292,05/25/2015-Final Statistics,2015.0
54,Richmond (SoCon),16,11-5,17,61,0.279,05/25/2015-Final Statistics,2015.0
55,Virginia (ACC),15,10-5,8,29,0.276,05/25/2015-Final Statistics,2015.0
56,Ohio St. (Big Ten),19,12-7,16,59,0.271,05/25/2015-Final Statistics,2015.0
57,Bryant (NEC),18,8-10,14,53,0.264,05/25/2015-Final Statistics,2015.0
58,Air Force (ECAC),15,8-7,11,44,0.250,05/25/2015-Final Statistics,2015.0
58,Hartford (America East),15,7-8,11,44,0.250,05/25/2015-Final Statistics,2015.0
60,Monmouth (MAAC),14,6-8,14,58,0.241,05/25/2015-Final Statistics,2015.0
61,Sacred Heart (NEC),13,6-7,13,55,0.236,05/25/2015-Final Statistics,2015.0
62,Mount St. Mary's (NEC),15,5-10,10,44,0.227,05/25/2015-Final Statistics,2015.0
63,Bellarmine (SoCon),12,4-8,5,23,0.217,05/25/2015-Final Statistics,2015.0
64,VMI (SoCon),15,1-14,9,43,0.209,05/25/2015-Final Statistics,2015.0
65,Manhattan (MAAC),15,1-14,14,69,0.203,05/25/2015-Final Statistics,2015.0
66,Furman (SoCon),13,4-9,9,49,0.184,05/25/2015-Final Statistics,2015.0
67,NJIT (Independent),12,0-12,7,45,0.156,05/25/2015-Final Statistics,2015.0
68,Providence (Big East),14,5-9,7,50,0.140,05/25/2015-Final Statistics,2015.0
-,UMass Lowell (America East),14,1-13,7,38,0.184,05/25/2015-Final Statistics,2015.0
1,Denver (Big East),18,16-2,37,61,0.607,05/23/2015,2015.0
2,Colgate (Patriot),16,10-6,28,50,0.560,05/23/2015,2015.0
2,Marist (MAAC),18,14-4,28,50,0.560,05/23/2015,2015.0
4,Notre Dame (ACC),15,12-3,22,42,0.524,05/23/2015,2015.0
5,Syracuse (ACC),16,13-3,31,61,0.508,05/23/2015,2015.0
6,Brown (Ivy League),17,12-5,22,45,0.489,05/23/2015,2015.0
7,Stony Brook (America East),18,13-5,33,68,0.485,05/23/2015,2015.0
8,Lehigh (Patriot),16,7-9,30,62,0.484,05/23/2015,2015.0
9,UAlbany (America East),19,16-3,42,90,0.467,05/23/2015,2015.0
10,Princeton (Ivy League),15,9-6,26,56,0.464,05/23/2015,2015.0
11,Johns Hopkins (Big Ten),18,11-7,38,82,0.463,05/23/2015,2015.0
12,Saint Joseph's (NEC),17,11-6,22,48,0.458,05/23/2015,2015.0
13,Detroit Mercy (MAAC),14,8-6,23,51,0.451,05/23/2015,2015.0
14,Georgetown (Big East),16,10-6,23,52,0.442,05/23/2015,2015.0
15,Yale (Ivy League),16,11-5,17,39,0.436,05/23/2015,2015.0
16,Vermont (America East),16,6-10,27,62,0.435,05/23/2015,2015.0
17,North Carolina (ACC),17,13-4,24,57,0.421,05/23/2015,2015.0
17,High Point (SoCon),17,10-7,24,57,0.421,05/23/2015,2015.0
19,Maryland (Big Ten),18,15-3,18,43,0.419,05/23/2015,2015.0
20,Army West Point (Patriot),17,10-7,19,46,0.413,05/23/2015,2015.0
21,Penn (Ivy League),13,6-7,20,50,0.400,05/23/2015,2015.0
22,Quinnipiac (MAAC),15,7-8,21,53,0.396,05/23/2015,2015.0
23,Hobart (NEC),14,7-7,13,33,0.394,05/23/2015,2015.0
24,Marquette (Big East),16,10-6,15,39,0.385,05/23/2015,2015.0
25,Cornell (Ivy League),16,10-6,21,55,0.382,05/23/2015,2015.0
26,Duke (ACC),18,12-6,21,56,0.375,05/23/2015,2015.0
26,Boston U. (Patriot),14,6-8,18,48,0.375,05/23/2015,2015.0
26,Michigan (Big Ten),13,5-8,12,32,0.375,05/23/2015,2015.0
29,Massachusetts (CAA),15,5-10,20,54,0.370,05/23/2015,2015.0
30,Hofstra (CAA),14,5-9,24,65,0.369,05/23/2015,2015.0
