Rank,Team,Games,W-L,Goals,Goals Allowed,Margin,Date,Academic Year
1,UAlbany (America East),19,16-3,325,190,7.11,05/25/2015-Final Statistics,2015.0
2,Denver (Big East),19,17-2,261,161,5.26,05/25/2015-Final Statistics,2015.0
3,Syracuse (ACC),16,13-3,238,154,5.25,05/25/2015-Final Statistics,2015.0
4,Richmond (SoCon),16,11-5,188,119,4.31,05/25/2015-Final Statistics,2015.0
5,North Carolina (ACC),17,13-4,244,173,4.18,05/25/2015-Final Statistics,2015.0
6,Notre Dame (ACC),15,12-3,199,140,3.93,05/25/2015-Final Statistics,2015.0
7,Brown (Ivy League),17,12-5,237,177,3.53,05/25/2015-Final Statistics,2015.0
8,Yale (Ivy League),16,11-5,182,130,3.25,05/25/2015-Final Statistics,2015.0
9,Army West Point (Patriot),17,10-7,191,136,3.24,05/25/2015-Final Statistics,2015.0
10,Marist (MAAC),18,14-4,212,155,3.17,05/25/2015-Final Statistics,2015.0
11,Maryland (Big Ten),19,15-4,194,134,3.16,05/25/2015-Final Statistics,2015.0
12,Saint Joseph's (NEC),17,11-6,182,130,3.06,05/25/2015-Final Statistics,2015.0
13,Stony Brook (America East),18,13-5,250,196,3.00,05/25/2015-Final Statistics,2015.0
14,Duke (ACC),18,12-6,257,208,2.72,05/25/2015-Final Statistics,2015.0
15,Johns Hopkins (Big Ten),18,11-7,234,189,2.50,05/25/2015-Final Statistics,2015.0
16,Fairfield (CAA),15,9-6,144,112,2.13,05/25/2015-Final Statistics,2015.0
17,Cornell (Ivy League),16,10-6,184,159,1.56,05/25/2015-Final Statistics,2015.0
18,Hofstra (CAA),14,5-9,133,112,1.50,05/25/2015-Final Statistics,2015.0
19,Navy (Patriot),14,9-5,137,120,1.21,05/25/2015-Final Statistics,2015.0
20,Princeton (Ivy League),15,9-6,180,162,1.20,05/25/2015-Final Statistics,2015.0
21,Colgate (Patriot),16,10-6,169,150,1.19,05/25/2015-Final Statistics,2015.0
22,Virginia (ACC),15,10-5,181,165,1.07,05/25/2015-Final Statistics,2015.0
23,High Point (SoCon),17,10-7,184,166,1.06,05/25/2015-Final Statistics,2015.0
24,Air Force (ECAC),15,8-7,145,131,0.93,05/25/2015-Final Statistics,2015.0
25,Loyola Maryland (Patriot),15,7-8,168,155,0.87,05/25/2015-Final Statistics,2015.0
26,Ohio St. (Big Ten),19,12-7,190,174,0.84,05/25/2015-Final Statistics,2015.0
27,Towson (CAA),18,12-6,154,139,0.83,05/25/2015-Final Statistics,2015.0
28,Georgetown (Big East),16,10-6,186,174,0.75,05/25/2015-Final Statistics,2015.0
29,Boston U. (Patriot),14,6-8,150,140,0.71,05/25/2015-Final Statistics,2015.0
30,Bellarmine (SoCon),12,4-8,119,116,0.25,05/25/2015-Final Statistics,2015.0
31,Lehigh (Patriot),16,7-9,163,161,0.13,05/25/2015-Final Statistics,2015.0
