Rank,Team,Games,W-L,Goals,Per Game,Date,Academic Year
1,UAlbany (America East),19,16-3,325,17.11,05/25/2015-Final Statistics,2015.0
2,Syracuse (ACC),16,13-3,238,14.88,05/25/2015-Final Statistics,2015.0
3,North Carolina (ACC),17,13-4,244,14.35,05/25/2015-Final Statistics,2015.0
4,Duke (ACC),18,12-6,257,14.28,05/25/2015-Final Statistics,2015.0
5,Brown (Ivy League),17,12-5,237,13.94,05/25/2015-Final Statistics,2015.0
6,Stony Brook (America East),18,13-5,250,13.89,05/25/2015-Final Statistics,2015.0
7,Denver (Big East),19,17-2,261,13.74,05/25/2015-Final Statistics,2015.0
8,Notre Dame (ACC),15,12-3,199,13.27,05/25/2015-Final Statistics,2015.0
9,Johns Hopkins (Big Ten),18,11-7,234,13.00,05/25/2015-Final Statistics,2015.0
10,Harvard (Ivy League),14,7-7,172,12.29,05/25/2015-Final Statistics,2015.0
11,Vermont (America East),16,6-10,194,12.13,05/25/2015-Final Statistics,2015.0
12,Virginia (ACC),15,10-5,181,12.07,05/25/2015-Final Statistics,2015.0
13,Princeton (Ivy League),15,9-6,180,12.00,05/25/2015-Final Statistics,2015.0
14,Marist (MAAC),18,14-4,212,11.78,05/25/2015-Final Statistics,2015.0
15,Richmond (SoCon),16,11-5,188,11.75,05/25/2015-Final Statistics,2015.0
16,Georgetown (Big East),16,10-6,186,11.63,05/25/2015-Final Statistics,2015.0
17,Cornell (Ivy League),16,10-6,184,11.50,05/25/2015-Final Statistics,2015.0
18,Yale (Ivy League),16,11-5,182,11.38,05/25/2015-Final Statistics,2015.0
19,Army West Point (Patriot),17,10-7,191,11.24,05/25/2015-Final Statistics,2015.0
20,Loyola Maryland (Patriot),15,7-8,168,11.20,05/25/2015-Final Statistics,2015.0
21,High Point (SoCon),17,10-7,184,10.82,05/25/2015-Final Statistics,2015.0
22,Binghamton (America East),13,4-9,140,10.77,05/25/2015-Final Statistics,2015.0
23,Boston U. (Patriot),14,6-8,150,10.71,05/25/2015-Final Statistics,2015.0
24,Saint Joseph's (NEC),17,11-6,182,10.71,05/25/2015-Final Statistics,2015.0
25,Colgate (Patriot),16,10-6,169,10.56,05/25/2015-Final Statistics,2015.0
26,Rutgers (Big Ten),15,5-10,155,10.33,05/25/2015-Final Statistics,2015.0
27,Maryland (Big Ten),19,15-4,194,10.21,05/25/2015-Final Statistics,2015.0
28,Marquette (Big East),16,10-6,163,10.19,05/25/2015-Final Statistics,2015.0
28,Lehigh (Patriot),16,7-9,163,10.19,05/25/2015-Final Statistics,2015.0
30,Penn (Ivy League),13,6-7,131,10.08,05/25/2015-Final Statistics,2015.0
31,Ohio St. (Big Ten),19,12-7,190,10.00,05/25/2015-Final Statistics,2015.0
32,Detroit Mercy (MAAC),14,8-6,139,9.93,05/25/2015-Final Statistics,2015.0
33,Bellarmine (SoCon),12,4-8,119,9.92,05/25/2015-Final Statistics,2015.0
34,Quinnipiac (MAAC),15,7-8,148,9.87,05/25/2015-Final Statistics,2015.0
35,St. John's (NY) (Big East),14,3-11,138,9.86,05/25/2015-Final Statistics,2015.0
36,Michigan (Big Ten),13,5-8,128,9.85,05/25/2015-Final Statistics,2015.0
37,Hartford (America East),15,7-8,147,9.80,05/25/2015-Final Statistics,2015.0
38,Navy (Patriot),14,9-5,137,9.79,05/25/2015-Final Statistics,2015.0
39,Massachusetts (CAA),15,5-10,146,9.73,05/25/2015-Final Statistics,2015.0
40,Air Force (ECAC),15,8-7,145,9.67,05/25/2015-Final Statistics,2015.0
41,Fairfield (CAA),15,9-6,144,9.60,05/25/2015-Final Statistics,2015.0
41,Bucknell (Patriot),15,9-6,144,9.60,05/25/2015-Final Statistics,2015.0
43,Hofstra (CAA),14,5-9,133,9.50,05/25/2015-Final Statistics,2015.0
43,Robert Morris (NEC),14,3-11,133,9.50,05/25/2015-Final Statistics,2015.0
45,Villanova (Big East),14,6-8,131,9.36,05/25/2015-Final Statistics,2015.0
46,Siena (MAAC),14,5-9,130,9.29,05/25/2015-Final Statistics,2015.0
47,Holy Cross (Patriot),13,6-7,120,9.23,05/25/2015-Final Statistics,2015.0
48,Penn St. (Big Ten),14,5-9,129,9.21,05/25/2015-Final Statistics,2015.0
49,Jacksonville (SoCon),12,4-8,109,9.08,05/25/2015-Final Statistics,2015.0
