Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
1,Stony Brook (America East),18,13-5,250,622,0.402,05/25/2015-Final Statistics,2015.0
2,UAlbany (America East),19,16-3,325,887,0.366,05/25/2015-Final Statistics,2015.0
3,Denver (Big East),19,17-2,261,731,0.357,05/25/2015-Final Statistics,2015.0
4,Colgate (Patriot),16,10-6,169,479,0.353,05/25/2015-Final Statistics,2015.0
5,Princeton (Ivy League),15,9-6,180,523,0.344,05/25/2015-Final Statistics,2015.0
6,Syracuse (ACC),16,13-3,238,693,0.343,05/25/2015-Final Statistics,2015.0
7,Notre Dame (ACC),15,12-3,199,598,0.333,05/25/2015-Final Statistics,2015.0
8,Johns Hopkins (Big Ten),18,11-7,234,706,0.331,05/25/2015-Final Statistics,2015.0
9,Virginia (ACC),15,10-5,181,551,0.328,05/25/2015-Final Statistics,2015.0
10,North Carolina (ACC),17,13-4,244,751,0.325,05/25/2015-Final Statistics,2015.0
11,Yale (Ivy League),16,11-5,182,561,0.324,05/25/2015-Final Statistics,2015.0
12,Duke (ACC),18,12-6,257,797,0.322,05/25/2015-Final Statistics,2015.0
13,Marist (MAAC),18,14-4,212,663,0.320,05/25/2015-Final Statistics,2015.0
14,Harvard (Ivy League),14,7-7,172,545,0.316,05/25/2015-Final Statistics,2015.0
15,Binghamton (America East),13,4-9,140,455,0.308,05/25/2015-Final Statistics,2015.0
16,Army West Point (Patriot),17,10-7,191,621,0.308,05/25/2015-Final Statistics,2015.0
17,Holy Cross (Patriot),13,6-7,120,393,0.305,05/25/2015-Final Statistics,2015.0
18,High Point (SoCon),17,10-7,184,605,0.304,05/25/2015-Final Statistics,2015.0
19,Richmond (SoCon),16,11-5,188,620,0.303,05/25/2015-Final Statistics,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/25/2015-Final Statistics,2015.0
21,Ohio St. (Big Ten),19,12-7,190,633,0.300,05/25/2015-Final Statistics,2015.0
22,Georgetown (Big East),16,10-6,186,623,0.299,05/25/2015-Final Statistics,2015.0
23,Massachusetts (CAA),15,5-10,146,494,0.296,05/25/2015-Final Statistics,2015.0
24,Lehigh (Patriot),16,7-9,163,555,0.294,05/25/2015-Final Statistics,2015.0
25,Brown (Ivy League),17,12-5,237,808,0.293,05/25/2015-Final Statistics,2015.0
26,Bellarmine (SoCon),12,4-8,119,406,0.293,05/25/2015-Final Statistics,2015.0
27,Vermont (America East),16,6-10,194,662,0.293,05/25/2015-Final Statistics,2015.0
28,Navy (Patriot),14,9-5,137,472,0.290,05/25/2015-Final Statistics,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/25/2015-Final Statistics,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/25/2015-Final Statistics,2015.0
31,Quinnipiac (MAAC),15,7-8,148,519,0.285,05/25/2015-Final Statistics,2015.0
