Date,Year,Team 1,Score 1,Team 2,Score 2,Winner
2017-02-04,2017,Bucknell,14,Delaware,13,Bucknell
2017-02-04,2017,Boston U.,8,Providence,7,Boston U.
2017-02-04,2017,UMBC,6,North Carolina,17,North Carolina
2017-02-04,2017,Michigan,13,Cleveland St.,8,Michigan
2017-02-04,2017,NJIT,5,Lehigh,15,Lehigh
2017-02-04,2017,Robert Morris,11,Penn St.,15,Penn St.
2017-02-04,2017,Bryant,17,Manhattan,10,Bryant
2017-02-04,2017,Vermont,13,Mercer,12,Vermont
2017-02-10,2017,High Point,5,Duke,10,Duke
2017-02-11,2017,Lafayette,6,Michigan,17,Michigan
2017-02-11,2017,Siena,6,Syracuse,19,Syracuse
2017-02-11,2017,Rutgers,16,St. John's (NY),8,Rutgers
2017-02-11,2017,Penn St.,21,Hobart,15,Penn St.
2017-02-11,2017,Fairfield,3,Richmond,15,Richmond
2017-02-11,2017,Delaware,18,Mt. St. Mary's,5,Delaware
2017-02-11,2017,Bryant,8,Bucknell,9,Bucknell
2017-02-11,2017,Wagner,13,Manhattan,14,Manhattan
2017-02-11,2017,Marist,12,Colgate,8,Marist
2017-02-11,2017,Monmouth,12,Villanova,10,Monmouth
2017-02-11,2017,Detroit,8,Ohio St.,14,Ohio St.
2017-02-11,2017,Maryland,15,Navy,12,Maryland
2017-02-11,2017,Virginia,16,Loyola Maryland,15,Virginia
2017-02-11,2017,North Carolina,7,Furman,3,North Carolina
2017-02-11,2017,UMBC,5,Johns Hopkins,15,Johns Hopkins
2017-02-11,2017,Air Force,6,Denver,14,Denver
2017-02-11,2017,Bellarmine,8,Robert Morris,10,Robert Morris
2017-02-11,2017,Providence,10,Holy Cross,4,Providence
2017-02-11,2017,Lehigh,13,Jacksonville,12,Lehigh
2017-02-11,2017,Boston U.,18,Mass.-Lowell,8,Boston U.
2017-02-11,2017,Army,9,Massachusetts,2,Army
2017-02-14,2017,Georgetown,3,High Point,9,High Point
2017-02-14,2017,Maryland,16,Saint Joseph's,8,Maryland
2017-02-14,2017,Stony Brook,12,Sacred Heart,11,Stony Brook
2017-02-17,2017,Lafayette,8,Wagner,9,Wagner
2017-02-17,2017,Colgate,8,Binghamton,11,Binghamton
2017-02-18,2017,Loyola Maryland,13,Johns Hopkins,14,Johns Hopkins
2017-02-18,2017,Albany (NY),9,Syracuse,10,Syracuse
2017-02-18,2017,Fairfield,13,Bucknell,12,Fairfield
2017-02-18,2017,Drexel,14,Virginia,18,Virginia
2017-02-18,2017,Towson,13,Mt. St. Mary's,5,Towson
2017-02-18,2017,Massachusetts,7,Ohio St.,8,Ohio St.
2017-02-18,2017,Robert Morris,18,Manhattan,8,Robert Morris
2017-02-18,2017,Marist,10,Air Force,4,Marist
2017-02-18,2017,Siena,15,Hobart,16,Hobart
